symbol,split,regime,n_rows,scope,direction,split_total_rows,share
BTC-USDT,test,BALANCED_TRANSITION,7274792,within_asset,,33550262,0.21683264351259016
BTC-USDT,test,CALM_ILLIQUID,279958,within_asset,,33550262,0.00834443558145686
BTC-USDT,test,CALM_LIQUID,777935,within_asset,,33550262,0.023187151265763588
BTC-USDT,test,CHOPPY_MEAN_REVERTING,4558298,within_asset,,33550262,0.1358647512201246
BTC-USDT,test,LIQUIDITY_DROUGHT,883259,within_asset,,33550262,0.026326441206330965
BTC-USDT,test,MILD_LIQUIDITY_STRESS,5391529,within_asset,,33550262,0.16070005653010996
BTC-USDT,test,MOMENTUM_TOXIC,6086770,within_asset,,33550262,0.1814224282361789
BTC-USDT,test,SHOCK_RECOVERY,3225721,within_asset,,33550262,0.09614592577548277
BTC-USDT,test,UNKNOWN,4916249,within_asset,,33550262,0.14653384823045495
BTC-USDT,test,VOLATILE_ILLIQUID,152499,within_asset,,33550262,0.004545389243160009
BTC-USDT,test,VOLATILE_LIQUID,3252,within_asset,,33550262,9.692919834724391e-05
BTC-USDT,train,BALANCED_TRANSITION,20407259,within_asset,,100650783,0.2027531072460708
BTC-USDT,train,CALM_ILLIQUID,3713037,within_asset,,100650783,0.03689029423645914
BTC-USDT,train,CALM_LIQUID,6014857,within_asset,,100650783,0.05975966426411208
BTC-USDT,train,CHOPPY_MEAN_REVERTING,10889218,within_asset,,100650783,0.10818811017098595
BTC-USDT,train,LIQUIDITY_DROUGHT,1988112,within_asset,,100650783,0.019752573608890853
BTC-USDT,train,MILD_LIQUIDITY_STRESS,15874187,within_asset,,100650783,0.15771548443890396
BTC-USDT,train,MOMENTUM_TOXIC,17743091,within_asset,,100650783,0.1762836857414214
BTC-USDT,train,SHOCK_RECOVERY,8938230,within_asset,,100650783,0.0888043762163281
BTC-USDT,train,UNKNOWN,12846602,within_asset,,100650783,0.12763539057614684
BTC-USDT,train,VOLATILE_ILLIQUID,2190407,within_asset,,100650783,0.021762443715912273
BTC-USDT,train,VOLATILE_LIQUID,45783,within_asset,,100650783,0.0004548697847685894
BTC-USDT,valid,BALANCED_TRANSITION,7977169,within_asset,,33550261,0.23776771811104538
BTC-USDT,valid,CALM_ILLIQUID,1697016,within_asset,,33550261,0.050581305462869576
BTC-USDT,valid,CALM_LIQUID,1030841,within_asset,,33550261,0.030725275132732946
BTC-USDT,valid,CHOPPY_MEAN_REVERTING,2114548,within_asset,,33550261,0.06302627571213232
BTC-USDT,valid,LIQUIDITY_DROUGHT,1580907,within_asset,,33550261,0.047120557422787264
BTC-USDT,valid,MILD_LIQUIDITY_STRESS,6141875,within_asset,,33550261,0.18306489478576635
