regime,n_rows,share
BALANCED_TRANSITION,2748591,0.20766507712630364
MOMENTUM_TOXIC,2278402,0.17214075395529
MILD_LIQUIDITY_STRESS,2250624,0.17004203482522864
UNKNOWN,1667566,0.1259900880135319
SHOCK_RECOVERY,1326081,0.10018977473939406
CHOPPY_MEAN_REVERTING,1299061,0.0981483249987987
CALM_LIQUID,968117,0.07314441889400267
CALM_ILLIQUID,269205,0.020339321888118884
LIQUIDITY_DROUGHT,220319,0.016645824033983264
VOLATILE_ILLIQUID,179516,0.013563023376488362
VOLATILE_LIQUID,28210,0.002131358148859916
