row_type,model,model_display,policy,policy_display,comparison_policy,diff_target,n_trades,gross_pnl,net_pnl_mean,net_pnl_ci_low,net_pnl_ci_high,total_cost,net_per_trade_mean,net_per_trade_ci_low,net_per_trade_ci_high,n_days,n_bootstrap,seed,source_artifact
policy,sgd_stage3,SGD,naive_threshold,Naive,,,32891,2016.4421384725617,-4557.584431207933,-5228.9117403886585,-3835.788676986659,6574.0265696804945,-0.13856630784129195,-0.1464564215235054,-0.13125419167825692,65,1000,7,D:\LOBProj\DeepLOB\CryptoRegimeShift\data\backtests\sgd_stage3_naive_threshold_tuned_trades.parquet
policy,sgd_stage3,SGD,cost_aware_threshold,Cost-aware,,,67165,4533.46542428947,-8891.626690132656,-9950.318160010987,-7735.223972744934,13425.092114422125,-0.13238482379412872,-0.13725195178169242,-0.1278807829411312,65,1000,7,D:\LOBProj\DeepLOB\CryptoRegimeShift\data\backtests\sgd_stage3_cost_aware_threshold_tuned_trades.parquet
policy,sgd_stage3,SGD,RSEP-full,RSEP-full,,,33713,2300.8222825707703,-4437.49242498972,-5016.420136565126,-3821.413920654789,6738.314707560491,-0.13162555764807998,-0.13613667323711812,-0.1269690732915993,65,1000,7,D:\LOBProj\DeepLOB\CryptoRegimeShift\data\backtests\sgd_stage3_rsep_full_tuned_trades.parquet
difference,sgd_stage3,SGD,RSEP-full,RSEP-full,cost_aware_threshold,rsep_minus_cost_aware,33713,0.0,4454.134265142936,3878.9698679216153,5019.899670865115,0.0,0.0007592661460487371,-0.004717150551119592,0.006211793259714739,65,1000,7,paired_policy_daily_union
difference,sgd_stage3,SGD,RSEP-full,RSEP-full,naive_threshold,rsep_minus_naive,33713,0.0,120.0920062182131,-328.8035927299561,574.4066180668173,0.0,0.00694075019321197,-0.0017832613612681677,0.01608894247900223,65,1000,7,paired_policy_daily_union
policy,xgboost_gpu_stage3,XGBoost,naive_threshold,Naive,,,880927,60722.27318241,-115238.25573462414,-133871.638042,-98314.48154103299,175960.52891703416,-0.1308147618754155,-0.13306128918335636,-0.12840681027795028,65,1000,7,D:\LOBProj\DeepLOB\CryptoRegimeShift\data\backtests\xgboost_gpu_stage3_naive_threshold_tuned_trades.parquet
policy,xgboost_gpu_stage3,XGBoost,cost_aware_threshold,Cost-aware,,,37945,3078.888722170048,-4494.391918998827,-5103.67308532343,-3926.6889515816442,7573.280641168876,-0.11844490496768553,-0.12163077546651363,-0.11514004830782978,65,1000,7,D:\LOBProj\DeepLOB\CryptoRegimeShift\data\backtests\xgboost_gpu_stage3_cost_aware_threshold_tuned_trades.parquet
policy,xgboost_gpu_stage3,XGBoost,RSEP-full,RSEP-full,,,36360,2953.001171721243,-4303.192190442314,-4843.658587302454,-3796.9089336541497,7256.193362163556,-0.11834962019918356,-0.12151639156070689,-0.11515608686971507,65,1000,7,D:\LOBProj\DeepLOB\CryptoRegimeShift\data\backtests\xgboost_gpu_stage3_rsep_full_tuned_trades.parquet
difference,xgboost_gpu_stage3,XGBoost,RSEP-full,RSEP-full,cost_aware_threshold,rsep_minus_cost_aware,36360,0.0,191.19972855651304,69.70189597768608,320.26268334225944,0.0,9.528476850197143e-05,-0.0013956473718993961,0.0015875809435477296,65,1000,7,paired_policy_daily_union
difference,xgboost_gpu_stage3,XGBoost,RSEP-full,RSEP-full,naive_threshold,rsep_minus_naive,36360,0.0,110935.06354418182,93962.90760690659,129571.54500127619,0.0,0.01246514167623193,0.009070800506904377,0.01594117703695383,65,1000,7,paired_policy_daily_union
policy,tcn_gpu_stage3_stride1,TCN stride-1,naive_threshold,Naive,,,19932,629.9243533728189,-3355.27969271206,-4897.406495399131,-2009.4642616153212,3985.2040460848793,-0.16833632815131747,-0.1879634001268575,-0.14843948475120206,65,1000,7,D:\LOBProj\DeepLOB\CryptoRegimeShift\data\backtests\tcn_gpu_stage3_stride1_naive_threshold_tuned_trades.parquet
policy,tcn_gpu_stage3_stride1,TCN stride-1,cost_aware_threshold,Cost-aware,,,4570,125.76323503121952,-787.9979672806534,-1124.941653480932,-500.53291374339676,913.7612023118729,-0.17242843922990228,-0.21594026353816095,-0.14294803679572748,65,1000,7,D:\LOBProj\DeepLOB\CryptoRegimeShift\data\backtests\tcn_gpu_stage3_stride1_cost_aware_threshold_tuned_trades.parquet
policy,tcn_gpu_stage3_stride1,TCN stride-1,RSEP-full,RSEP-full,,,5435,271.7315744987493,-814.1668892095275,-1041.0747138613824,-609.7145434611,1085.8984637082772,-0.14980071558592964,-0.16045080341078444,-0.13667440578331314,65,1000,7,D:\LOBProj\DeepLOB\CryptoRegimeShift\data\backtests\tcn_gpu_stage3_stride1_rsep_full_tuned_trades.parquet
difference,tcn_gpu_stage3_stride1,TCN stride-1,RSEP-full,RSEP-full,cost_aware_threshold,rsep_minus_cost_aware,5435,0.0,-26.16892192887417,-289.93029428981055,289.2132982355197,0.0,0.02262772364397264,-0.008812633938899648,0.0683937359443944,65,1000,7,paired_policy_daily_union
difference,tcn_gpu_stage3_stride1,TCN stride-1,RSEP-full,RSEP-full,naive_threshold,rsep_minus_naive,5435,0.0,2541.112803502532,1254.2563297999588,4101.86398989404,0.0,0.018535612565387827,-0.004220228263234909,0.04149651653665471,65,1000,7,paired_policy_daily_union
