symbol,setting,regime,n_rows,share,unknown_share,agreement_with_baseline,sample_rows,train_fraction_for_thresholds
BTC-USDT,baseline,BALANCED_TRANSITION,212339,0.212339,0.131557,1.0,1000000,0.6
BTC-USDT,baseline,MOMENTUM_TOXIC,175193,0.175193,0.131557,1.0,1000000,0.6
BTC-USDT,baseline,MILD_LIQUIDITY_STRESS,162952,0.162952,0.131557,1.0,1000000,0.6
BTC-USDT,baseline,UNKNOWN,131557,0.131557,0.131557,1.0,1000000,0.6
BTC-USDT,baseline,CHOPPY_MEAN_REVERTING,104794,0.104794,0.131557,1.0,1000000,0.6
BTC-USDT,baseline,SHOCK_RECOVERY,87001,0.087001,0.131557,1.0,1000000,0.6
BTC-USDT,baseline,CALM_LIQUID,46797,0.046797,0.131557,1.0,1000000,0.6
BTC-USDT,baseline,CALM_ILLIQUID,34318,0.034318,0.131557,1.0,1000000,0.6
BTC-USDT,baseline,LIQUIDITY_DROUGHT,26585,0.026585,0.131557,1.0,1000000,0.6
BTC-USDT,baseline,VOLATILE_ILLIQUID,18106,0.018106,0.131557,1.0,1000000,0.6
BTC-USDT,baseline,VOLATILE_LIQUID,358,0.000358,0.131557,1.0,1000000,0.6
BTC-USDT,strict_extremes,BALANCED_TRANSITION,218072,0.218072,0.162746,0.864753,1000000,0.6
BTC-USDT,strict_extremes,MILD_LIQUIDITY_STRESS,179769,0.179769,0.162746,0.864753,1000000,0.6
BTC-USDT,strict_extremes,UNKNOWN,162746,0.162746,0.162746,0.864753,1000000,0.6
BTC-USDT,strict_extremes,MOMENTUM_TOXIC,135683,0.135683,0.162746,0.864753,1000000,0.6
BTC-USDT,strict_extremes,SHOCK_RECOVERY,92981,0.092981,0.162746,0.864753,1000000,0.6
BTC-USDT,strict_extremes,CHOPPY_MEAN_REVERTING,88068,0.088068,0.162746,0.864753,1000000,0.6
BTC-USDT,strict_extremes,CALM_LIQUID,58964,0.058964,0.162746,0.864753,1000000,0.6
BTC-USDT,strict_extremes,CALM_ILLIQUID,36820,0.03682,0.162746,0.864753,1000000,0.6
BTC-USDT,strict_extremes,VOLATILE_ILLIQUID,15335,0.015335,0.162746,0.864753,1000000,0.6
BTC-USDT,strict_extremes,LIQUIDITY_DROUGHT,11385,0.011385,0.162746,0.864753,1000000,0.6
BTC-USDT,strict_extremes,VOLATILE_LIQUID,177,0.000177,0.162746,0.864753,1000000,0.6
BTC-USDT,relaxed_extremes,MOMENTUM_TOXIC,211297,0.211297,0.105668,0.868548,1000000,0.6
BTC-USDT,relaxed_extremes,BALANCED_TRANSITION,206695,0.206695,0.105668,0.868548,1000000,0.6
BTC-USDT,relaxed_extremes,MILD_LIQUIDITY_STRESS,147110,0.14711,0.105668,0.868548,1000000,0.6
BTC-USDT,relaxed_extremes,CHOPPY_MEAN_REVERTING,124870,0.12487,0.105668,0.868548,1000000,0.6
BTC-USDT,relaxed_extremes,UNKNOWN,105668,0.105668,0.105668,0.868548,1000000,0.6
BTC-USDT,relaxed_extremes,SHOCK_RECOVERY,77797,0.077797,0.105668,0.868548,1000000,0.6
BTC-USDT,relaxed_extremes,LIQUIDITY_DROUGHT,46395,0.046395,0.105668,0.868548,1000000,0.6
BTC-USDT,relaxed_extremes,CALM_LIQUID,35068,0.035068,0.105668,0.868548,1000000,0.6
BTC-USDT,relaxed_extremes,CALM_ILLIQUID,26281,0.026281,0.105668,0.868548,1000000,0.6
BTC-USDT,relaxed_extremes,VOLATILE_ILLIQUID,18284,0.018284,0.105668,0.868548,1000000,0.6
BTC-USDT,relaxed_extremes,VOLATILE_LIQUID,535,0.000535,0.105668,0.868548,1000000,0.6
ETH-USDT,baseline,BALANCED_TRANSITION,199151,0.199151,0.126395,1.0,1000000,0.6
ETH-USDT,baseline,MOMENTUM_TOXIC,169971,0.169971,0.126395,1.0,1000000,0.6
ETH-USDT,baseline,MILD_LIQUIDITY_STRESS,143411,0.143411,0.126395,1.0,1000000,0.6
ETH-USDT,baseline,CHOPPY_MEAN_REVERTING,127997,0.127997,0.126395,1.0,1000000,0.6
ETH-USDT,baseline,UNKNOWN,126395,0.126395,0.126395,1.0,1000000,0.6
ETH-USDT,baseline,SHOCK_RECOVERY,87638,0.087638,0.126395,1.0,1000000,0.6
ETH-USDT,baseline,CALM_ILLIQUID,48638,0.048638,0.126395,1.0,1000000,0.6
ETH-USDT,baseline,CALM_LIQUID,39884,0.039884,0.126395,1.0,1000000,0.6
ETH-USDT,baseline,VOLATILE_ILLIQUID,27327,0.027327,0.126395,1.0,1000000,0.6
ETH-USDT,baseline,LIQUIDITY_DROUGHT,24746,0.024746,0.126395,1.0,1000000,0.6
ETH-USDT,baseline,VOLATILE_LIQUID,4842,0.004842,0.126395,1.0,1000000,0.6
ETH-USDT,strict_extremes,BALANCED_TRANSITION,206022,0.206022,0.157811,0.857456,1000000,0.6
