model,regime,accuracy,macro_f1,weighted_f1,mcc,balanced_accuracy,n_rows
sgd,BALANCED_TRANSITION,0.6256002920770793,0.3953127711999146,0.5532582301373585,0.1838421724516346,0.4035984748446826,7274792
sgd,CALM_ILLIQUID,0.6603633402153181,0.4085841233576117,0.588401084824809,0.2219445202360872,0.4122035844699245,279958
sgd,CALM_LIQUID,0.6524799629789121,0.4198653164657155,0.5922130613789726,0.2009668593278226,0.4164027767120641,777935
sgd,CHOPPY_MEAN_REVERTING,0.4255355836761879,0.4190137110231187,0.4192561245172108,0.1405046447578602,0.4249806064307672,4558298
sgd,LIQUIDITY_DROUGHT,0.5719375630477583,0.4138854027400021,0.515741171058971,0.1931467621045147,0.4227546414698664,883259
sgd,MILD_LIQUIDITY_STRESS,0.6251703366521816,0.4070246622377718,0.555745246900562,0.2099341370934747,0.4145505759305845,5391529
sgd,MOMENTUM_TOXIC,0.520158639146871,0.4703723655485286,0.5123679755788443,0.2239280093905359,0.4701265012339883,6086770
sgd,SHOCK_RECOVERY,0.5442879281872177,0.4801807967835768,0.5391775174381558,0.2423122950870408,0.4798461708879186,3225721
sgd,UNKNOWN,0.54676705756767,0.4527377549925175,0.5178747242753263,0.2199924271524144,0.4533755913502346,4916249
sgd,VOLATILE_ILLIQUID,0.5304034780555938,0.4888409649899003,0.529333562802727,0.2557928335986602,0.4898215698302199,152499
sgd,VOLATILE_LIQUID,0.6808118081180812,0.403967372732974,0.6176626652372218,0.1866844895609546,0.4040435367174276,3252
