symbol,month,regime,n_rows
BTC-USDT,2024-01,BALANCED_TRANSITION,1009884
BTC-USDT,2024-01,CALM_ILLIQUID,254534
BTC-USDT,2024-01,CALM_LIQUID,205451
BTC-USDT,2024-01,CHOPPY_MEAN_REVERTING,739777
BTC-USDT,2024-01,LIQUIDITY_DROUGHT,92757
BTC-USDT,2024-01,MILD_LIQUIDITY_STRESS,716979
BTC-USDT,2024-01,MOMENTUM_TOXIC,897948
BTC-USDT,2024-01,SHOCK_RECOVERY,459011
BTC-USDT,2024-01,UNKNOWN,611021
BTC-USDT,2024-01,VOLATILE_ILLIQUID,166775
BTC-USDT,2024-01,VOLATILE_LIQUID,836
BTC-USDT,2024-02,BALANCED_TRANSITION,1738707
BTC-USDT,2024-02,CALM_ILLIQUID,14671
BTC-USDT,2024-02,CALM_LIQUID,762666
BTC-USDT,2024-02,CHOPPY_MEAN_REVERTING,559284
BTC-USDT,2024-02,LIQUIDITY_DROUGHT,127562
BTC-USDT,2024-02,MILD_LIQUIDITY_STRESS,1533645
BTC-USDT,2024-02,MOMENTUM_TOXIC,1380454
BTC-USDT,2024-02,SHOCK_RECOVERY,867070
BTC-USDT,2024-02,UNKNOWN,1056545
BTC-USDT,2024-02,VOLATILE_ILLIQUID,12741
BTC-USDT,2024-02,VOLATILE_LIQUID,27374
