regime,n_runs,mean_run_length,p50_run_length,p90_run_length,p99_run_length,max_run_length
BALANCED_TRANSITION,288144,9.538949275362318,4.0,23.0,84.0,483
CALM_ILLIQUID,39547,6.807216729461148,3.0,17.0,60.0,300
CALM_LIQUID,80042,12.095112565902902,4.0,29.0,135.0,344
CHOPPY_MEAN_REVERTING,103992,12.491932071697823,7.0,30.0,71.0,231
LIQUIDITY_DROUGHT,70248,3.1363028128914703,1.0,7.0,32.0,211
MILD_LIQUIDITY_STRESS,324168,6.942770415340194,3.0,17.0,62.0,321
MOMENTUM_TOXIC,116704,19.522912667946258,13.0,49.0,66.0,151
SHOCK_RECOVERY,131542,10.081046357817275,5.0,28.0,56.0,121
UNKNOWN,324166,5.144173047142513,2.0,12.0,41.0,151
VOLATILE_ILLIQUID,39858,4.5038888052586685,2.0,11.0,32.0,99
VOLATILE_LIQUID,3704,7.616090712742981,3.0,21.0,50.0,93
