algorithm,regime,cluster,n_rows,within_regime_share,within_cluster_share
kmeans,BALANCED_TRANSITION,0,21056,0.25561463568601744,0.22854413823794378
kmeans,BALANCED_TRANSITION,1,55444,0.6730764561633525,0.8695870386925767
kmeans,BALANCED_TRANSITION,2,5874,0.07130890815063005,0.13316708229426433
kmeans,MILD_LIQUIDITY_STRESS,0,51664,0.7616015095229671,0.5607667343239517
kmeans,MILD_LIQUIDITY_STRESS,2,16172,0.23839849047703285,0.36662888233960556
kmeans,UNKNOWN,0,19411,0.38985740108455513,0.21068912743810445
kmeans,UNKNOWN,1,8315,0.16700140590480017,0.13041296130742328
kmeans,UNKNOWN,2,22064,0.4431411930106447,0.5002040353661301
gmm,BALANCED_TRANSITION,0,12194,0.1480321460655061,0.11707438841737394
gmm,BALANCED_TRANSITION,1,62702,0.7611867822371137,0.7832267412811033
gmm,BALANCED_TRANSITION,2,7478,0.09078107169738024,0.47365087408158096
gmm,MILD_LIQUIDITY_STRESS,0,67344,0.9927472138687422,0.6465686086255232
gmm,MILD_LIQUIDITY_STRESS,1,15,0.00022112152839200424,0.0001873688418107325
gmm,MILD_LIQUIDITY_STRESS,2,477,0.007031664602865735,0.030212819863187232
gmm,UNKNOWN,0,24618,0.4944366338622213,0.2363570029571028
gmm,UNKNOWN,1,17339,0.34824261899979914,0.21658588987708605
gmm,UNKNOWN,2,7833,0.15732074713797953,0.49613630605523185
