policy,n_trades,gross_pnl,net_pnl,total_cost,turnover,net_pnl_per_trade,cost_survival,max_drawdown,direction,source_symbol,target_symbol,model,threshold,tuning_split
naive_threshold,1498862,66691.3322850587,-233008.44901648868,299699.78130154713,444038.6157055755,-0.1554569059836654,-3.493834071578311,-233008.44348354248,btc_to_eth,BTC-USDT,ETH-USDT,asset_btc_to_eth_sgd,0.8,source_valid
cost_aware_threshold,1887016,89326.51922929977,-287991.4445409546,377317.9637702545,557704.0009861668,-0.1526173834991089,-3.224030747259782,-287991.4390080026,btc_to_eth,BTC-USDT,ETH-USDT,asset_btc_to_eth_sgd,0.000127427957,source_valid
RSEP-full,500819,25679.516481696,-74466.37902548636,100145.8955071824,147730.20384023452,-0.1486892051329649,-2.899835714530098,-74466.13265977192,btc_to_eth,BTC-USDT,ETH-USDT,asset_btc_to_eth_sgd,9.8641055e-05,source_valid
naive_threshold,47235,1223.4287271921153,-8215.681715174625,9439.11044236674,519.1640469725357,-0.1739320782295887,-6.715292466632194,-8224.009137110213,eth_to_btc,ETH-USDT,BTC-USDT,asset_eth_to_btc_sgd,0.6,source_valid
cost_aware_threshold,27052,1708.3265989630454,-3697.463873338304,5405.790472301349,300.79641893024154,-0.1366798711126091,-2.1643776287172867,-3697.260174302664,eth_to_btc,ETH-USDT,BTC-USDT,asset_eth_to_btc_sgd,4.6384324e-05,source_valid
RSEP-full,9129,677.2175736084232,-1144.7525620551248,1821.970135663548,99.5695372958343,-0.1253973668589248,-1.6903763379256855,-1143.7831473479396,eth_to_btc,ETH-USDT,BTC-USDT,asset_eth_to_btc_sgd,2.3792219e-05,source_valid
naive_threshold,1481428,65641.99638800653,-230570.82504317883,296212.8214311853,438926.08074806153,-0.1556409255415577,-3.5125504666294165,-230570.81951022777,btc_to_eth,BTC-USDT,ETH-USDT,asset_btc_to_eth_sgd_purged,0.8,source_valid
cost_aware_threshold,1925421,91453.7614817862,-293544.1458305941,384997.90731238015,568907.5503174099,-0.1524571227957906,-3.2097547555663524,-293544.1402976392,btc_to_eth,BTC-USDT,ETH-USDT,asset_btc_to_eth_sgd_purged,0.000126666764,source_valid
RSEP-full,517363,26632.07854188219,-76822.19661227056,103454.27515415275,152594.31976211251,-0.1484879989722314,-2.8845738229353106,-76821.95024655583,btc_to_eth,BTC-USDT,ETH-USDT,asset_btc_to_eth_sgd_purged,9.8234061e-05,source_valid
naive_threshold,54006,1504.2084895748808,-9288.165247098761,10792.373736673639,594.0667763028213,-0.17198395080359147,-6.174785816907456,-9296.405757052267,eth_to_btc,ETH-USDT,BTC-USDT,asset_eth_to_btc_sgd_purged,0.6,source_valid
cost_aware_threshold,34985,2115.1507879350193,-4875.614879357343,6990.765667292362,388.4425553149543,-0.13936300927132608,-2.305090921729184,-4875.153187003634,eth_to_btc,ETH-USDT,BTC-USDT,asset_eth_to_btc_sgd_purged,4.6214689e-05,source_valid
RSEP-full,33827,2443.78027456673,-4308.403764108012,6752.184038674743,372.62702220071014,-0.12736582505418784,-1.7630078321472133,-4309.290650198832,eth_to_btc,ETH-USDT,BTC-USDT,asset_eth_to_btc_sgd_purged,2.1242022e-05,source_valid
