direction,source_symbol,target_symbol,model,policy,stress_axis,robustness_auc
btc_to_eth,BTC-USDT,ETH-USDT,asset_btc_to_eth_sgd,RSEP-full,fee_bps,-6403.476915433712
btc_to_eth,BTC-USDT,ETH-USDT,asset_btc_to_eth_sgd,RSEP-full,latency_events,-85067.1463682509
btc_to_eth,BTC-USDT,ETH-USDT,asset_btc_to_eth_sgd,RSEP-full,spread_multiplier,-76657.96931079554
btc_to_eth,BTC-USDT,ETH-USDT,asset_btc_to_eth_sgd,RSEP-full,depth_multiplier,-75043.62173602145
btc_to_eth,BTC-USDT,ETH-USDT,asset_btc_to_eth_sgd,RSEP-full,latency_half_life,
eth_to_btc,ETH-USDT,BTC-USDT,asset_eth_to_btc_sgd,RSEP-full,fee_bps,4233.45221953971
eth_to_btc,ETH-USDT,BTC-USDT,asset_eth_to_btc_sgd,RSEP-full,latency_events,-1371.4881300394431
eth_to_btc,ETH-USDT,BTC-USDT,asset_eth_to_btc_sgd,RSEP-full,spread_multiplier,-1162.1053234224973
eth_to_btc,ETH-USDT,BTC-USDT,asset_eth_to_btc_sgd,RSEP-full,depth_multiplier,-1149.7034363191704
eth_to_btc,ETH-USDT,BTC-USDT,asset_eth_to_btc_sgd,RSEP-full,latency_half_life,
