trade_date,exchange,symbol,n_rows,first_timestamp,last_timestamp,duration_seconds,mean_snapshot_interval_ms,p50_snapshot_interval_ms,p95_snapshot_interval_ms,p99_snapshot_interval_ms,n_duplicate_timestamps,n_duplicate_sequence_numbers,n_non_monotonic_sequence,n_missing_values_by_column,n_crossed_book_rows,n_zero_or_negative_price_rows,n_zero_or_negative_size_rows,spread_mean,spread_p50,spread_p95,depth_top10_mean,depth_top10_p50,depth_top10_p95,file_size_mb
2024-01-01,BINANCE,BTC-USDT,178030,2024-01-01 00:00:03.168000+00:00,2024-01-01 23:59:59.844000+00:00,86396.676,485.29551926933254,400.0,1399.999744,2100.999936,0,0,0,{},0,0,0,0.018343424424529076,0.01171875,0.01171875,12.717529296875,12.361444473266602,19.20423240661621,759.2053
2024-01-02,BINANCE,BTC-USDT,196423,2024-01-02 00:00:01.244999936+00:00,2024-01-02 23:59:59.444000+00:00,86398.199,439.8600920470416,301.000192,1200.0,1800.999936,0,0,0,{},0,0,0,0.03539831191301346,0.01171875,0.01171875,9.569282531738281,8.750799179077148,16.086598396301266,759.2053
2024-01-03,BINANCE,BTC-USDT,181905,2024-01-03 00:00:00.044000+00:00,2024-01-03 23:59:59.720999936+00:00,86399.676999,474.97403575477176,400.0,1300.0002559999998,2000.999936,0,0,0,{},0,0,0,0.2547953128814697,0.01171875,0.01171875,10.330649375915527,9.723810195922852,18.79397506713867,759.2053
2024-01-04,BINANCE,BTC-USDT,216272,2024-01-04 00:00:00.321000192+00:00,2024-01-04 23:59:59.539000064+00:00,86399.217999,399.4951611629483,300.00025600000004,1001.000192,1600.99968,0,0,0,{},0,0,0,0.04477120563387871,0.01171875,0.01171875,10.304365158081055,10.138115882873535,16.213022994995114,759.2053
2024-01-05,BINANCE,BTC-USDT,190692,2024-01-05 00:00:00.940000+00:00,2024-01-05 23:59:59.604000+00:00,86398.664,453.08202274884496,399.99974399999996,1200.9999360000002,1900.9999360000002,0,0,0,{},0,0,0,0.10085119307041168,0.01171875,0.01171875,7.854609966278076,7.536120414733887,13.310683250427243,759.2053
2024-01-06,BINANCE,BTC-USDT,184472,2024-01-06 00:00:00.104000+00:00,2024-01-06 23:59:59.540000+00:00,86399.436,468.3632440871465,400.0,1300.0,1901.000192,0,0,0,{},0,0,0,0.018310092389583588,0.01171875,0.01171875,9.543758392333984,8.96803092956543,15.427010393142679,759.2053
2024-01-07,BINANCE,BTC-USDT,194677,2024-01-07 00:00:00.140999936+00:00,2024-01-07 23:59:59.651000064+00:00,86399.51,443.81182066678997,399.99974399999996,1200.9999360000002,1801.000192,0,0,0,{},0,0,0,0.021266276016831398,0.01171875,0.01171875,9.612382888793945,9.156310081481934,14.917972373962389,759.2053
2024-01-08,BINANCE,BTC-USDT,192079,2024-01-08 00:00:00.651000064+00:00,2024-01-08 23:59:59.780000+00:00,86399.128999,449.81272712094045,399.99974399999996,1200.9999360000002,1900.9999360000002,0,0,0,{},0,0,0,0.08438253402709961,0.01171875,0.01171875,8.721407890319824,7.906169891357422,15.146156024932864,759.2053
2024-01-09,BINANCE,BTC-USDT,151833,2024-01-09 00:00:00.080000+00:00,2024-01-09 23:59:59.953999872+00:00,86399.873999,569.0491727690605,400.0,1600.999936,2901.000192,0,0,0,{},0,0,0,0.16799211502075195,0.01171875,0.01171875,7.700328826904297,7.113029479980469,13.485831451416015,759.2053
2024-01-10,BINANCE,BTC-USDT,191543,2024-01-10 00:00:00.753999872+00:00,2024-01-10 23:59:58.824000+00:00,86398.07,451.0659280999885,399.99974399999996,1200.9999360000002,1900.99968,0,0,0,{},0,0,0,0.18518155813217163,0.01171875,0.01171875,7.666223049163818,5.901039123535156,12.478479385375977,759.2053
2024-01-11,BINANCE,BTC-USDT,38945,2024-01-11 00:00:00.525000192+00:00,2024-01-11 23:59:57.996000+00:00,86397.470999,2218.5053153196386,700.9999359999999,8103.999744,30114.56998144,0,0,0,{},0,0,0,0.07690633088350296,0.01171875,0.01171875,6.296207427978516,5.353359699249268,10.686453437805174,759.2053
