month,input_path,output_path,engine_requested,engine_used,status,n_rows,input_size_mb,output_size_mb,duration_sec,throughput_input_mb_sec,worker_thread,monotonic_before_write,sorted_applied,schema_status,row_count_status,symbol_status,exchange_status,sample_status,error
JAN,data\eth\BOOK_BINANCE_ETH-USDT_JAN-2024.csv,data\full2024\BOOK_BINANCE_ETH-USDT_JAN-2024.parquet,pyarrow,pyarrow,converted,5479426,3538.2716,717.2209,13.3433,265.1714,15432,False,True,PASS,PASS,PASS,PASS,PASS,
FEB,data\eth\BOOK_BINANCE_ETH-USDT_FEB-2024.csv,data\full2024\BOOK_BINANCE_ETH-USDT_FEB-2024.parquet,pyarrow,pyarrow,converted,6821821,4412.4486,821.6187,16.4332,268.5084,12532,False,True,PASS,PASS,PASS,PASS,PASS,
MAR,data\eth\BOOK_BINANCE_ETH-USDT_MAR-2024.csv,data\full2024\BOOK_BINANCE_ETH-USDT_MAR-2024.parquet,pyarrow,pyarrow,converted,9838667,6292.0242,1436.5911,24.2913,259.0235,15432,False,True,PASS,PASS,PASS,PASS,PASS,
APR,data\eth\BOOK_BINANCE_ETH-USDT_APR-2024.csv,data\full2024\BOOK_BINANCE_ETH-USDT_APR-2024.parquet,pyarrow,pyarrow,converted,8296326,5276.6867,1233.318,19.7823,266.7372,12532,False,True,PASS,PASS,PASS,PASS,PASS,
MAY,data\eth\BOOK_BINANCE_ETH-USDT_MAY-2024.csv,data\full2024\BOOK_BINANCE_ETH-USDT_MAY-2024.parquet,pyarrow,pyarrow,converted,8214725,5204.8033,1115.2206,19.5685,265.9788,12532,False,True,PASS,PASS,PASS,PASS,PASS,
JUN,data\eth\BOOK_BINANCE_ETH-USDT_JUN-2024.csv,data\full2024\BOOK_BINANCE_ETH-USDT_JUN-2024.parquet,pyarrow,pyarrow,converted,8068908,5104.3347,1016.2252,19.3456,263.8503,15432,False,True,PASS,PASS,PASS,PASS,PASS,
JUL,data\eth\BOOK_BINANCE_ETH-USDT_JUL-2024.csv,data\full2024\BOOK_BINANCE_ETH-USDT_JUL-2024.parquet,pyarrow,pyarrow,converted,8484283,5430.1342,1226.9366,21.7859,249.25,12532,False,True,PASS,PASS,PASS,PASS,PASS,
AUG,data\eth\BOOK_BINANCE_ETH-USDT_AUG-2024.csv,data\full2024\BOOK_BINANCE_ETH-USDT_AUG-2024.parquet,pyarrow,pyarrow,converted,9887336,6334.7898,1434.8902,25.9868,243.7695,15432,False,True,PASS,PASS,PASS,PASS,PASS,
SEP,data\eth\BOOK_BINANCE_ETH-USDT_SEP-2024.csv,data\full2024\BOOK_BINANCE_ETH-USDT_SEP-2024.parquet,pyarrow,pyarrow,converted,12372937,7930.136,1441.5635,27.585,287.4801,12532,False,True,PASS,PASS,PASS,PASS,PASS,
OCT,data\eth\BOOK_BINANCE_ETH-USDT_OCT-2024.csv,data\full2024\BOOK_BINANCE_ETH-USDT_OCT-2024.parquet,pyarrow,pyarrow,converted,12445316,7972.9271,1413.1426,28.0144,284.6015,15432,False,True,PASS,PASS,PASS,PASS,PASS,
NOV,data\eth\BOOK_BINANCE_ETH-USDT_NOV-2024.csv,data\full2024\BOOK_BINANCE_ETH-USDT_NOV-2024.parquet,pyarrow,pyarrow,converted,12315143,7891.8983,1859.8401,29.5242,267.3028,12532,False,True,PASS,PASS,PASS,PASS,PASS,
DEC,data\eth\BOOK_BINANCE_ETH-USDT_DEC-2024.csv,data\full2024\BOOK_BINANCE_ETH-USDT_DEC-2024.parquet,pyarrow,pyarrow,converted,12191682,7813.5544,1826.8072,27.6063,283.0347,15432,False,True,PASS,PASS,PASS,PASS,PASS,
