model,policy,regime,gross_pnl,net_pnl,n_trades,threshold
sgd_stage3,sgd_stage3_naive_threshold_tuned,BALANCED_TRANSITION,25.56842761053916,-88.5175144626126,571,0.8
sgd_stage3,sgd_stage3_naive_threshold_tuned,CALM_ILLIQUID,1.6108844222451244,0.4111486806559526,6,0.8
sgd_stage3,sgd_stage3_naive_threshold_tuned,CALM_LIQUID,35.48699412510794,-36.87369837935115,362,0.8
sgd_stage3,sgd_stage3_naive_threshold_tuned,CHOPPY_MEAN_REVERTING,137.3194720960955,-320.35536585055763,2290,0.8
sgd_stage3,sgd_stage3_naive_threshold_tuned,LIQUIDITY_DROUGHT,-8.025795138683819,-76.61449500043344,343,0.8
sgd_stage3,sgd_stage3_naive_threshold_tuned,MILD_LIQUIDITY_STRESS,7.122765868444452,-35.26983335692456,212,0.8
sgd_stage3,sgd_stage3_naive_threshold_tuned,MOMENTUM_TOXIC,1505.035317796229,-3465.5155484837705,24869,0.8
sgd_stage3,sgd_stage3_naive_threshold_tuned,SHOCK_RECOVERY,190.9913791165452,-290.9216669344933,2411,0.8
sgd_stage3,sgd_stage3_naive_threshold_tuned,UNKNOWN,120.7868750902483,-236.0745067627711,1785,0.8
sgd_stage3,sgd_stage3_naive_threshold_tuned,VOLATILE_ILLIQUID,0.5458174857908216,-7.852950657675393,42,0.8
sgd_stage3,sgd_stage3_cost_aware_threshold_tuned,BALANCED_TRANSITION,82.50285206933775,-174.0630301019525,1284,0.000127427957
sgd_stage3,sgd_stage3_cost_aware_threshold_tuned,CALM_ILLIQUID,1.6462395782391597,-1.7530752462109822,17,0.000127427957
sgd_stage3,sgd_stage3_cost_aware_threshold_tuned,CALM_LIQUID,82.67080625544317,-99.24490546304536,910,0.000127427957
sgd_stage3,sgd_stage3_cost_aware_threshold_tuned,CHOPPY_MEAN_REVERTING,321.3446198591008,-519.9926123992522,4210,0.000127427957
sgd_stage3,sgd_stage3_cost_aware_threshold_tuned,LIQUIDITY_DROUGHT,30.58550596813128,-86.32193331536774,585,0.000127427957
sgd_stage3,sgd_stage3_cost_aware_threshold_tuned,MILD_LIQUIDITY_STRESS,25.054185153580544,-87.72931416244666,564,0.000127427957
sgd_stage3,sgd_stage3_cost_aware_threshold_tuned,MOMENTUM_TOXIC,3309.2774341085387,-6753.511714380036,50341,0.000127427957
