model,policy,regime,gross_pnl,net_pnl,n_trades,threshold
sgd_btc_stage3_purged,sgd_btc_stage3_purged_naive_threshold_tuned,BALANCED_TRANSITION,23.535013105462923,-84.15178916147993,539,0.8
sgd_btc_stage3_purged,sgd_btc_stage3_purged_naive_threshold_tuned,CALM_ILLIQUID,1.6108844222451244,0.41114868065595267,6,0.8
sgd_btc_stage3_purged,sgd_btc_stage3_purged_naive_threshold_tuned,CALM_LIQUID,36.89892844574474,-33.862077834644026,354,0.8
sgd_btc_stage3_purged,sgd_btc_stage3_purged_naive_threshold_tuned,CHOPPY_MEAN_REVERTING,137.30190686148438,-297.97775047812644,2178,0.8
sgd_btc_stage3_purged,sgd_btc_stage3_purged_naive_threshold_tuned,LIQUIDITY_DROUGHT,-10.597318673389788,-77.58636780047291,335,0.8
sgd_btc_stage3_purged,sgd_btc_stage3_purged_naive_threshold_tuned,MILD_LIQUIDITY_STRESS,7.66428648168631,-31.928796830700144,198,0.8
sgd_btc_stage3_purged,sgd_btc_stage3_purged_naive_threshold_tuned,MOMENTUM_TOXIC,1437.3525710437582,-3191.4991552841893,23158,0.8
sgd_btc_stage3_purged,sgd_btc_stage3_purged_naive_threshold_tuned,SHOCK_RECOVERY,175.81765308910457,-278.1001280125777,2271,0.8
sgd_btc_stage3_purged,sgd_btc_stage3_purged_naive_threshold_tuned,UNKNOWN,115.29779147260409,-219.1673727027588,1673,0.8
sgd_btc_stage3_purged,sgd_btc_stage3_purged_naive_threshold_tuned,VOLATILE_ILLIQUID,0.4236377425619946,-7.775156855829494,41,0.8
sgd_btc_stage3_purged,sgd_btc_stage3_purged_cost_aware_threshold_tuned,BALANCED_TRANSITION,85.92220957315084,-178.64284504729596,1324,0.000126666764
sgd_btc_stage3_purged,sgd_btc_stage3_purged_cost_aware_threshold_tuned,CALM_ILLIQUID,2.272976791064269,-0.7264766093412558,15,0.000126666764
sgd_btc_stage3_purged,sgd_btc_stage3_purged_cost_aware_threshold_tuned,CALM_LIQUID,80.97423536729961,-103.74103202076448,924,0.000126666764
sgd_btc_stage3_purged,sgd_btc_stage3_purged_cost_aware_threshold_tuned,CHOPPY_MEAN_REVERTING,331.63292286506015,-533.2611055827387,4328,0.000126666764
sgd_btc_stage3_purged,sgd_btc_stage3_purged_cost_aware_threshold_tuned,LIQUIDITY_DROUGHT,25.548487787943905,-93.15825103534699,594,0.000126666764
sgd_btc_stage3_purged,sgd_btc_stage3_purged_cost_aware_threshold_tuned,MILD_LIQUIDITY_STRESS,27.63165103314015,-87.75149068491088,577,0.000126666764
sgd_btc_stage3_purged,sgd_btc_stage3_purged_cost_aware_threshold_tuned,MOMENTUM_TOXIC,3218.3261435656814,-6653.0751298624655,49384,0.000126666764
sgd_btc_stage3_purged,sgd_btc_stage3_purged_cost_aware_threshold_tuned,SHOCK_RECOVERY,372.5662082559859,-614.022551372657,4937,0.000126666764
sgd_btc_stage3_purged,sgd_btc_stage3_purged_cost_aware_threshold_tuned,UNKNOWN,298.17351993870386,-576.6250045895739,4377,0.000126666764
sgd_btc_stage3_purged,sgd_btc_stage3_purged_cost_aware_threshold_tuned,VOLATILE_ILLIQUID,4.4685752333812685,-13.529159597279707,90,0.000126666764
sgd_btc_stage3_purged,sgd_btc_stage3_purged_cost_aware_threshold_tuned,VOLATILE_LIQUID,0.5347492035582015,0.13480269489206217,2,0.000126666764
sgd_btc_stage3_purged,sgd_btc_stage3_purged_RSEP-full_tuned,BALANCED_TRANSITION,626.2143465268261,-1235.3384026292633,9315,9.8234061e-05
sgd_btc_stage3_purged,sgd_btc_stage3_purged_RSEP-full_tuned,CALM_ILLIQUID,19.234353161846673,-7.361484872232901,133,9.8234061e-05
sgd_btc_stage3_purged,sgd_btc_stage3_purged_RSEP-full_tuned,CALM_LIQUID,147.17984664876394,-272.0196952606226,2097,9.8234061e-05
sgd_btc_stage3_purged,sgd_btc_stage3_purged_RSEP-full_tuned,CHOPPY_MEAN_REVERTING,90.83448712000255,-253.94140905636013,1725,9.8234061e-05
sgd_btc_stage3_purged,sgd_btc_stage3_purged_RSEP-full_tuned,LIQUIDITY_DROUGHT,4.29612659807845,-24.700372777069948,145,9.8234061e-05
sgd_btc_stage3_purged,sgd_btc_stage3_purged_RSEP-full_tuned,MILD_LIQUIDITY_STRESS,95.15187127237652,-217.89908802707754,1566,9.8234061e-05
sgd_btc_stage3_purged,sgd_btc_stage3_purged_RSEP-full_tuned,MOMENTUM_TOXIC,100.95738502355688,-148.81189156774542,1249,9.8234061e-05
sgd_btc_stage3_purged,sgd_btc_stage3_purged_RSEP-full_tuned,SHOCK_RECOVERY,677.0414443708923,-1226.4318763457322,9526,9.8234061e-05
sgd_btc_stage3_purged,sgd_btc_stage3_purged_RSEP-full_tuned,UNKNOWN,459.05850680108205,-921.5527427431382,6906,9.8234061e-05
sgd_btc_stage3_purged,sgd_btc_stage3_purged_RSEP-full_tuned,VOLATILE_ILLIQUID,7.388155843125618,-13.409233807553957,104,9.8234061e-05
