model,policy,regime,gross_pnl,net_pnl,n_trades,threshold
sgd_eth_stage3_purged,sgd_eth_stage3_purged_naive_threshold_tuned,BALANCED_TRANSITION,429.89647507257075,-1618.9466079012534,10248,0.6
sgd_eth_stage3_purged,sgd_eth_stage3_purged_naive_threshold_tuned,CALM_ILLIQUID,-46.3865705008597,-175.9193706831662,648,0.6
sgd_eth_stage3_purged,sgd_eth_stage3_purged_naive_threshold_tuned,CALM_LIQUID,10.16312330130905,-130.99955189950225,706,0.6
sgd_eth_stage3_purged,sgd_eth_stage3_purged_naive_threshold_tuned,CHOPPY_MEAN_REVERTING,1580.2804719360183,-12076.623735220182,68315,0.6
sgd_eth_stage3_purged,sgd_eth_stage3_purged_naive_threshold_tuned,LIQUIDITY_DROUGHT,-151.7161961745041,-389.9740531858599,1192,0.6
sgd_eth_stage3_purged,sgd_eth_stage3_purged_naive_threshold_tuned,MILD_LIQUIDITY_STRESS,231.05000970070688,-1353.6061430581651,7928,0.6
sgd_eth_stage3_purged,sgd_eth_stage3_purged_naive_threshold_tuned,MOMENTUM_TOXIC,338.655062343964,-6288.494490272324,33151,0.6
sgd_eth_stage3_purged,sgd_eth_stage3_purged_naive_threshold_tuned,SHOCK_RECOVERY,627.4656268277527,-3867.867640560387,22486,0.6
sgd_eth_stage3_purged,sgd_eth_stage3_purged_naive_threshold_tuned,UNKNOWN,335.22539806885754,-3072.0554647691592,17044,0.6
sgd_eth_stage3_purged,sgd_eth_stage3_purged_naive_threshold_tuned,VOLATILE_ILLIQUID,-275.89273623588366,-767.2558279037072,2458,0.6
sgd_eth_stage3_purged,sgd_eth_stage3_purged_naive_threshold_tuned,VOLATILE_LIQUID,9.217508523348181,-8.379527807921583,88,0.6
sgd_eth_stage3_purged,sgd_eth_stage3_purged_cost_aware_threshold_tuned,BALANCED_TRANSITION,155.34021111915553,-440.5580520574481,2980,4.6214689e-05
sgd_eth_stage3_purged,sgd_eth_stage3_purged_cost_aware_threshold_tuned,CALM_ILLIQUID,18.624157671011424,2.8282397348030957,79,4.6214689e-05
sgd_eth_stage3_purged,sgd_eth_stage3_purged_cost_aware_threshold_tuned,CALM_LIQUID,39.211678438588685,-110.76328639962883,750,4.6214689e-05
sgd_eth_stage3_purged,sgd_eth_stage3_purged_cost_aware_threshold_tuned,CHOPPY_MEAN_REVERTING,235.94361875978137,-785.3122857565452,5108,4.6214689e-05
sgd_eth_stage3_purged,sgd_eth_stage3_purged_cost_aware_threshold_tuned,LIQUIDITY_DROUGHT,15.598733285455893,-29.191551263280502,224,4.6214689e-05
sgd_eth_stage3_purged,sgd_eth_stage3_purged_cost_aware_threshold_tuned,MILD_LIQUIDITY_STRESS,58.46072702082252,-258.07110417587506,1583,4.6214689e-05
sgd_eth_stage3_purged,sgd_eth_stage3_purged_cost_aware_threshold_tuned,MOMENTUM_TOXIC,881.1307955228509,-3556.1524801584637,22192,4.6214689e-05
sgd_eth_stage3_purged,sgd_eth_stage3_purged_cost_aware_threshold_tuned,SHOCK_RECOVERY,302.7985660233674,-1120.448644518889,7118,4.6214689e-05
sgd_eth_stage3_purged,sgd_eth_stage3_purged_cost_aware_threshold_tuned,UNKNOWN,153.35009121401598,-861.403950343978,5075,4.6214689e-05
sgd_eth_stage3_purged,sgd_eth_stage3_purged_cost_aware_threshold_tuned,VOLATILE_ILLIQUID,-1.1696138234671722,-54.75627300753444,268,4.6214689e-05
sgd_eth_stage3_purged,sgd_eth_stage3_purged_cost_aware_threshold_tuned,VOLATILE_LIQUID,4.011126862886632,-15.18587549360799,96,4.6214689e-05
sgd_eth_stage3_purged,sgd_eth_stage3_purged_RSEP-full_tuned,BALANCED_TRANSITION,1251.364868600993,-2762.2301734986095,20074,2.1242022e-05
sgd_eth_stage3_purged,sgd_eth_stage3_purged_RSEP-full_tuned,CALM_ILLIQUID,3.7237037158151143,-20.07196594451354,119,2.1242022e-05
sgd_eth_stage3_purged,sgd_eth_stage3_purged_RSEP-full_tuned,CALM_LIQUID,360.71115748488455,-665.7663598326318,5133,2.1242022e-05
sgd_eth_stage3_purged,sgd_eth_stage3_purged_RSEP-full_tuned,CHOPPY_MEAN_REVERTING,212.63636374110303,-547.4426672137514,3801,2.1242022e-05
sgd_eth_stage3_purged,sgd_eth_stage3_purged_RSEP-full_tuned,LIQUIDITY_DROUGHT,-0.1318771787014534,-18.329716427110274,91,2.1242022e-05
sgd_eth_stage3_purged,sgd_eth_stage3_purged_RSEP-full_tuned,MILD_LIQUIDITY_STRESS,75.83728777939909,-333.5027780858809,2047,2.1242022e-05
sgd_eth_stage3_purged,sgd_eth_stage3_purged_RSEP-full_tuned,MOMENTUM_TOXIC,10.797119582204722,-14.399338545072128,126,2.1242022e-05
sgd_eth_stage3_purged,sgd_eth_stage3_purged_RSEP-full_tuned,SHOCK_RECOVERY,431.75865636638514,-1187.9376892174996,8101,2.1242022e-05
sgd_eth_stage3_purged,sgd_eth_stage3_purged_RSEP-full_tuned,UNKNOWN,162.00234335830865,-385.65663306040796,2739,2.1242022e-05
sgd_eth_stage3_purged,sgd_eth_stage3_purged_RSEP-full_tuned,VOLATILE_ILLIQUID,-0.3524130504639238,-18.749429980441416,92,2.1242022e-05
sgd_eth_stage3_purged,sgd_eth_stage3_purged_RSEP-full_tuned,VOLATILE_LIQUID,36.93642278027074,-76.2512782532199,566,2.1242022e-05
