policy,n_trades,gross_pnl,net_pnl,total_cost,turnover,net_pnl_per_trade,cost_survival,max_drawdown,model,base_policy,threshold
sgd_stage3_naive_threshold_tuned,32891,2016.4421384725613,-4557.584431207933,6574.026569680495,366.8048714341345,-0.1385663078412919,-2.2602108655893627,-4557.384318809083,sgd_stage3,naive_threshold,0.8
sgd_stage3_cost_aware_threshold_tuned,67165,4533.465424289471,-8891.626690132656,13425.092114422125,748.0175094997654,-0.1323848237941287,-1.9613310917720823,-8891.489111382249,sgd_stage3,cost_aware_threshold,0.000127427957
sgd_stage3_RSEP-full_tuned,33713,2300.8222825707703,-4437.492424989721,6738.314707560492,376.0426918140757,-0.13162555764808,-1.9286550111256715,-4438.154992163394,sgd_stage3,RSEP-full,9.8641055e-05
xgboost_gpu_stage3_naive_threshold_tuned,880927,60722.27318240999,-115238.25573462412,175960.5289170341,9684.697915908517,-0.1308147618754154,-1.8977921888472105,-115238.11815586463,xgboost_gpu_stage3,naive_threshold,0.5
xgboost_gpu_stage3_cost_aware_threshold_tuned,37945,3078.888722170048,-4494.391918998827,7573.280641168875,409.1104300838328,-0.1184449049676855,-1.459744838011265,-4494.374451811824,xgboost_gpu_stage3,cost_aware_threshold,3.8545637e-05
xgboost_gpu_stage3_RSEP-full_tuned,36360,2953.001171721243,-4303.192190442313,7256.193362163556,393.6910790521544,-0.1183496201991835,-1.4572267128272327,-4303.07797081335,xgboost_gpu_stage3,RSEP-full,3.2988377e-05
tcn_gpu_stage3_naive_threshold_tuned,3100,-612.1207958925717,-1231.7224351556238,619.6016392630522,35.08222990081123,-0.3973298177921367,,-1236.5307316022547,tcn_gpu_stage3,naive_threshold,0.6
tcn_gpu_stage3_cost_aware_threshold_tuned,656,-92.972404686562,-224.11427944379332,131.1418747572314,7.627630216935441,-0.3416376211033435,,-225.7191834894828,tcn_gpu_stage3,cost_aware_threshold,3.6714177e-05
tcn_gpu_stage3_RSEP-full_tuned,619,-4.664455767581416,-128.4293425721194,123.764886804538,7.182172978255,-0.2074787440583512,,-134.36371103670052,tcn_gpu_stage3,RSEP-full,1.4391646e-05
tcn_gpu_stage3_stride1_naive_threshold_tuned,19932,629.9243533728189,-3355.27969271206,3985.204046084879,224.79410653366136,-0.16833632815131747,-5.326480353945368,-3374.872039496856,tcn_gpu_stage3_stride1,naive_threshold,0.6
tcn_gpu_stage3_stride1_cost_aware_threshold_tuned,4570,125.76323503121952,-787.9979672806533,913.7612023118729,52.481326923696045,-0.17242843922990225,-6.26572596582014,-787.898416026424,tcn_gpu_stage3_stride1,cost_aware_threshold,3.6634694e-05
tcn_gpu_stage3_stride1_RSEP-full_tuned,5435,271.7315744987493,-814.1668892095277,1085.8984637082772,62.610077213898066,-0.14980071558592964,-2.9962174646482795,-813.6198792812622,tcn_gpu_stage3_stride1,RSEP-full,1.1165357e-05
