model,model_type,regime,accuracy,macro_f1,weighted_f1,mcc,balanced_accuracy,n_rows
deeplob_stage3_pilot,deeplob,BALANCED_TRANSITION,0.6346666666666667,0.25883632408917895,0.49282436106579663,0.0,0.3333333333333333,2250
deeplob_stage3_pilot,deeplob,CALM_ILLIQUID,0.7150259067357513,0.27794561933534745,0.5962149554654603,0.0,0.3333333333333333,579
deeplob_stage3_pilot,deeplob,CALM_LIQUID,0.5157232704402516,0.2268326417704011,0.35094861556929985,0.0,0.3333333333333333,159
deeplob_stage3_pilot,deeplob,CHOPPY_MEAN_REVERTING,0.3865086599817685,0.18584264738110892,0.21548937782021016,0.0,0.3333333333333333,1097
deeplob_stage3_pilot,deeplob,LIQUIDITY_DROUGHT,0.6477611940298508,0.26207729468599034,0.5092905040017304,0.0,0.3333333333333333,335
deeplob_stage3_pilot,deeplob,MILD_LIQUIDITY_STRESS,0.6657496561210454,0.26644646297825486,0.5321599233073261,0.0,0.3333333333333333,1454
deeplob_stage3_pilot,deeplob,MOMENTUM_TOXIC,0.5356725146198831,0.23254633155623258,0.3737060345710685,0.0,0.3333333333333333,1710
deeplob_stage3_pilot,deeplob,SHOCK_RECOVERY,0.5480349344978166,0.23601316408086506,0.388030376753038,0.0,0.3333333333333333,916
deeplob_stage3_pilot,deeplob,UNKNOWN,0.5693069306930693,0.241850683491062,0.41306181091295247,0.0,0.3333333333333333,1212
deeplob_stage3_pilot,deeplob,VOLATILE_ILLIQUID,0.5208333333333334,0.228310502283105,0.3567351598173516,0.0,0.3333333333333333,288
