model,model_type,regime,accuracy,macro_f1,weighted_f1,mcc,balanced_accuracy,n_rows
tcn_gpu_stage3_pilot,tcn,BALANCED_TRANSITION,0.6422630762672665,0.4443219548746818,0.6200638557367326,0.20222013949632517,0.4367808406616118,110257
tcn_gpu_stage3_pilot,tcn,CALM_ILLIQUID,0.647875517367842,0.45593504484590636,0.6234930300697424,0.24162487611063355,0.44887540387699,19087
tcn_gpu_stage3_pilot,tcn,CALM_LIQUID,0.6415680922050349,0.4484349844685395,0.6131876773799111,0.20940583103220461,0.4398098743209063,13188
tcn_gpu_stage3_pilot,tcn,CHOPPY_MEAN_REVERTING,0.3879167918293782,0.35708355744260234,0.35207673389305266,0.10409380973007912,0.39710452680236336,53264
tcn_gpu_stage3_pilot,tcn,LIQUIDITY_DROUGHT,0.5623618845575886,0.4448159704550187,0.5571379080833216,0.19790953492563948,0.4442132323787676,11313
tcn_gpu_stage3_pilot,tcn,MILD_LIQUIDITY_STRESS,0.6376776862631334,0.44823827487029605,0.6201154153770648,0.21673836934359475,0.44243254055105,79283
tcn_gpu_stage3_pilot,tcn,MOMENTUM_TOXIC,0.5234789125092295,0.4713934590079351,0.5293951421442598,0.2238084808436339,0.47543373630034336,90741
tcn_gpu_stage3_pilot,tcn,SHOCK_RECOVERY,0.5384926247726813,0.4640188302073795,0.5509094821920696,0.22006852586748923,0.4726805186610623,49490
tcn_gpu_stage3_pilot,tcn,UNKNOWN,0.5368788636685385,0.456595572264818,0.5380438069559883,0.2069110015249602,0.4575939284695149,63573
tcn_gpu_stage3_pilot,tcn,VOLATILE_ILLIQUID,0.4848422777550184,0.4574284382950234,0.4987445795424987,0.21708208526415468,0.4686038477755911,9764
tcn_gpu_stage3_pilot,tcn,VOLATILE_LIQUID,0.6,0.37821720025109856,0.5672787193973634,0.07087028248122958,0.37477954144620806,40
