model,model_type,regime,accuracy,macro_f1,weighted_f1,mcc,balanced_accuracy,n_rows
tcn_gpu_stage3,tcn,BALANCED_TRANSITION,0.5972069213556086,0.443184506449811,0.5720717525306789,0.2018215849730494,0.4378714883275529,727083
tcn_gpu_stage3,tcn,CALM_ILLIQUID,0.6330650904429569,0.4649339721882841,0.6124343702293673,0.2512434329852428,0.4592382166319839,28084
tcn_gpu_stage3,tcn,CALM_LIQUID,0.6305216240864193,0.447676648047878,0.6002024068741072,0.209924480884147,0.4401579435871115,77853
tcn_gpu_stage3,tcn,CHOPPY_MEAN_REVERTING,0.3957037986125433,0.3652763403351081,0.3658477568708465,0.0998527343903041,0.3947560150229477,455798
tcn_gpu_stage3,tcn,LIQUIDITY_DROUGHT,0.5317444103960958,0.4372087126318821,0.5188758365587972,0.1824742105129203,0.4355259013678071,88110
tcn_gpu_stage3,tcn,MILD_LIQUIDITY_STRESS,0.5922269963338037,0.4542652048648443,0.5740334396550563,0.2223637230695293,0.4499045378054824,539251
tcn_gpu_stage3,tcn,MOMENTUM_TOXIC,0.4966291063762647,0.4626565158789728,0.4998269668026247,0.2090241705724598,0.4639758190842883,608444
tcn_gpu_stage3,tcn,SHOCK_RECOVERY,0.5065375497995607,0.4637103059780029,0.5150933335651984,0.2159813330240577,0.4682927343578333,322292
tcn_gpu_stage3,tcn,UNKNOWN,0.510596965793035,0.4576730716709176,0.5101413475131724,0.2056069944286587,0.4577205804245847,492122
tcn_gpu_stage3,tcn,VOLATILE_ILLIQUID,0.4767594537815126,0.4599806216549546,0.4885264487790812,0.2175123947480221,0.4701779982908139,15232
tcn_gpu_stage3,tcn,VOLATILE_LIQUID,0.6646153846153846,0.4529375317889674,0.6251617273280194,0.2102120004438827,0.4431808391487895,325
tcn_gpu_stage3_stride1,tcn,BALANCED_TRANSITION,0.5971146639333129,0.4430956227119643,0.5720266670850972,0.201827953367833,0.43781322418344665,7274092
tcn_gpu_stage3_stride1,tcn,CALM_ILLIQUID,0.6322764552910582,0.4642489789936573,0.6117413092918216,0.24924823091068868,0.45848446013773264,279944
tcn_gpu_stage3_stride1,tcn,CALM_LIQUID,0.6317974097760067,0.45059187670355955,0.6017418076715371,0.21398501225300962,0.44270185436246207,777925
tcn_gpu_stage3_stride1,tcn,CHOPPY_MEAN_REVERTING,0.3950717859559481,0.3647208112075551,0.3652863285793091,0.09885716178508097,0.39413677168794986,4557716
tcn_gpu_stage3_stride1,tcn,LIQUIDITY_DROUGHT,0.5323665555597084,0.4381550243512317,0.519802520027216,0.1837911944135893,0.4364551588058876,882933
tcn_gpu_stage3_stride1,tcn,MILD_LIQUIDITY_STRESS,0.5921552107285664,0.4542307633585812,0.5739469414419244,0.2223968821197597,0.4498831807932342,5390916
tcn_gpu_stage3_stride1,tcn,MOMENTUM_TOXIC,0.4961026008848327,0.4618873897369284,0.4993374279157748,0.20804417540587636,0.4631958668602337,6084314
tcn_gpu_stage3_stride1,tcn,SHOCK_RECOVERY,0.5066869746707056,0.464065993725382,0.5151301220710939,0.21629414679911485,0.4686024115103893,3225001
tcn_gpu_stage3_stride1,tcn,UNKNOWN,0.5111299277902028,0.45838402606406775,0.5105079122982378,0.20652813457595023,0.45836905478413686,4915261
tcn_gpu_stage3_stride1,tcn,VOLATILE_ILLIQUID,0.4775927541269602,0.45989314120471764,0.4896620181266505,0.21859338445875365,0.4702708729129279,152473
tcn_gpu_stage3_stride1,tcn,VOLATILE_LIQUID,0.6700492004920049,0.44897468722803646,0.6267207786443502,0.20825690987732806,0.44280184337724054,3252
