model,policy,split,threshold,selected,n_trade_days,n_trades,gross_pnl,net_pnl,total_cost,turnover,net_pnl_per_trade,cost_survival,max_drawdown
sgd_stage3,naive_threshold,valid,0.5,False,59,309800,14385.771920793784,-47555.29763547006,61941.069556263865,5038.3393253277045,-0.1535032202565205,-3.305717475384945,-47555.23656738836
sgd_stage3,naive_threshold,valid,0.55,False,59,227410,10052.03101317707,-35414.73274556824,45466.76375874533,3701.487923541994,-0.1557307626998295,-3.5231420097235624,-35415.89217309482
sgd_stage3,naive_threshold,valid,0.6,False,58,160184,7055.243048443327,-24970.257750192708,32025.50079863604,2609.8080447615857,-0.1558848433688302,-3.539248411251,-24971.07142205669
sgd_stage3,naive_threshold,valid,0.65,False,58,104667,4377.456071241266,-16548.200453198373,20925.65652443964,1707.1213862358914,-0.1581033224722058,-3.780323590661639,-16548.148677653928
sgd_stage3,naive_threshold,valid,0.7,False,58,58832,2438.035852804064,-9323.747623877953,11761.783476682016,960.2735123656228,-0.1584808883580016,-3.8242865104524233,-9323.695848333417
sgd_stage3,naive_threshold,valid,0.75,False,58,23829,828.4547906774094,-3935.407923118808,4763.862713796218,389.18483581470826,-0.1651520384035758,-4.750298951015674,-3935.4141998987793
sgd_stage3,naive_threshold,valid,0.8,True,58,5024,54.01025831116321,-950.3390296650856,1004.349287976249,82.06256156329033,-0.1891598387072224,-17.59552831963892,-951.9291786429408
sgd_stage3,naive_threshold,valid,0.85,False,58,552,25.45109190412188,-84.9109491878857,110.3620410920076,8.96943626645754,-0.1538241833113871,-3.336239934528473,-87.6743072501656
sgd_stage3,naive_threshold,valid,0.9,False,39,70,10.815696451476768,-3.180434227986687,13.99613067946346,1.133564605443239,-0.0454347746855241,-0.2940572752069454,-4.702998389959582
sgd_stage3,naive_threshold,valid,0.95,False,12,14,2.833838678993307,0.0347296387639764,2.79910904022933,0.2305594069141552,0.0024806884831411,0.0122553337356217,-3.329337248586029
sgd_stage3,cost_aware_threshold,valid,0.0,False,59,616922,36201.50909764236,-87154.19158992103,123355.7006875634,10002.059549706652,-0.1412726269932358,-2.407473991066217,-87154.14406523237
