model,policy,split,threshold,selected,n_trade_days,n_trades,gross_pnl,net_pnl,total_cost,turnover,net_pnl_per_trade,cost_survival,max_drawdown
sgd_btc_stage3_purged,naive_threshold,valid,0.5,False,59,304326,13915.115793183932,-46931.35729624726,60846.47308943121,4949.651843797585,-0.15421409046958612,-3.372688951624516,-46931.29622816588
sgd_btc_stage3_purged,naive_threshold,valid,0.55,False,59,222927,9793.108037668248,-34777.17296886579,44570.28100653404,3628.7993621048395,-0.1560025163791994,-3.5511885333132995,-34778.32371709043
sgd_btc_stage3_purged,naive_threshold,valid,0.6,False,58,156793,6771.833059797886,-24575.628045586567,31347.461105384453,2554.628102204482,-0.15673931901032934,-3.629095376181654,-24575.6186424353
sgd_btc_stage3_purged,naive_threshold,valid,0.65,False,58,102181,4368.389370952848,-16060.282426802421,20428.671797755276,1666.573655306607,-0.157174840986117,-3.676476857487476,-16060.230651257913
sgd_btc_stage3_purged,naive_threshold,valid,0.7,False,58,57058,2346.5256811345657,-9060.572841094989,11407.098522229553,931.3071389022649,-0.15879583653641888,-3.8612715445390404,-9060.521065550474
sgd_btc_stage3_purged,naive_threshold,valid,0.75,False,58,22923,729.124158895915,-3853.603883621686,4582.7280425176,374.35845679633695,-0.1681108006640355,-5.28525057989719,-3854.026622304606
sgd_btc_stage3_purged,naive_threshold,valid,0.8,True,58,4688,76.76898835512003,-860.4073486963118,937.1763370514318,76.5941609906207,-0.18353399076286514,-11.207746345649582,-862.2859395858853
sgd_btc_stage3_purged,naive_threshold,valid,0.85,False,58,499,13.052914252499452,-86.71307205736484,99.76598630986427,8.109311134622555,-0.17377369149772512,-6.643196329950646,-87.10976918332118
sgd_btc_stage3_purged,naive_threshold,valid,0.9,False,39,62,11.25404486255132,-1.1423472141944344,12.396392076745757,1.0039707898118038,-0.01842495506765217,-0.10150547897633505,-4.67436168060939
sgd_btc_stage3_purged,naive_threshold,valid,0.95,False,11,13,3.035794399244736,0.4366651893933607,2.5991292098513754,0.2139514196400255,0.033589629953335434,0.1438388546674956,-2.927401697956645
sgd_btc_stage3_purged,cost_aware_threshold,valid,0.0,False,59,610248,35807.489609469,-86213.64387639698,122021.13348586595,9894.671656358387,-0.141276405455482,-2.407698635583727,-86213.59635170785
sgd_btc_stage3_purged,cost_aware_threshold,valid,3.3190371e-05,False,59,355987,20888.63653237441,-50290.02537959561,71178.66191197002,5780.556212046806,-0.14126927494429742,-2.407530300106148,-50290.28001492859
sgd_btc_stage3_purged,cost_aware_threshold,valid,4.2293994e-05,False,59,299002,17422.534931559698,-42361.378487359536,59783.91341891921,4856.871519509621,-0.14167590346338665,-2.4314130322462364,-42361.81808235547
