model,policy,split,threshold,selected,n_trade_days,n_trades,gross_pnl,net_pnl,total_cost,turnover,net_pnl_per_trade,cost_survival,max_drawdown
sgd_eth_stage3_purged,naive_threshold,valid,0.5,False,57,147534,1727.8570339081566,-27766.178930749553,29494.035964657713,59286.398588377044,-0.18820189875384355,-16.069720113328223,-27766.275279935915
sgd_eth_stage3_purged,naive_threshold,valid,0.55,False,57,51170,-100.69285085691928,-10329.164816675695,10228.471965818775,20666.617152480227,-0.20185977753909898,,-10335.94967855627
sgd_eth_stage3_purged,naive_threshold,valid,0.6,True,56,10872,-45.043417874955594,-2217.940795117583,2172.8973772426275,4417.903658454229,-0.20400485606305951,,-2219.1952374718844
sgd_eth_stage3_purged,naive_threshold,valid,0.65,False,48,739,18.436606600768926,-129.25165494293063,147.68826154369953,300.8200726870528,-0.17490075093765986,-7.010598953580753,-186.05769596410695
sgd_eth_stage3_purged,naive_threshold,valid,0.7,False,13,20,-25.79071992154999,-29.787768016848688,3.997048095298699,8.250019947911632,-1.4893884008424343,,-28.755613167540087
sgd_eth_stage3_purged,naive_threshold,valid,0.75,False,1,1,-0.3933618395140308,-0.5933229077113074,0.19996106819727658,0.4140863774478207,-0.5933229077113074,,0.0
sgd_eth_stage3_purged,naive_threshold,valid,0.8,False,1,1,-0.3933618395140308,-0.5933229077113074,0.19996106819727658,0.4140863774478207,-0.5933229077113074,,0.0
sgd_eth_stage3_purged,naive_threshold,valid,0.85,False,0,0,0.0,0.0,0.0,0.0,0.0,,0.0
sgd_eth_stage3_purged,naive_threshold,valid,0.9,False,0,0,0.0,0.0,0.0,0.0,0.0,,0.0
sgd_eth_stage3_purged,naive_threshold,valid,0.95,False,0,0,0.0,0.0,0.0,0.0,0.0,,0.0
sgd_eth_stage3_purged,cost_aware_threshold,valid,0.0,False,57,322520,12228.944440167144,-52256.91003284026,64485.85447300742,128633.22284404215,-0.16202688215565006,-4.27321509951402,-52258.46243985829
sgd_eth_stage3_purged,cost_aware_threshold,valid,9.952903e-06,False,57,183066,5062.161192404026,-31539.55667273346,36601.717865137485,73062.69603566537,-0.1722851685880145,-6.230452858763134,-31540.974601692058
sgd_eth_stage3_purged,cost_aware_threshold,valid,1.2603731e-05,False,57,151741,4015.6353544248827,-26322.773002787224,30338.40835721211,60578.52605990756,-0.17347172486531146,-6.555070537911717,-26325.431731462217
sgd_eth_stage3_purged,cost_aware_threshold,valid,1.577744e-05,False,57,118492,2969.7137191511033,-20720.72725177008,23690.44097092118,47317.36918645774,-0.17487026340824766,-6.977348394946678,-20723.07845638135
sgd_eth_stage3_purged,cost_aware_threshold,valid,1.9857192e-05,False,57,83020,1945.7624628619717,-14652.346256525932,16598.108719387903,33158.13383029904,-0.17649176411136994,-7.530387977047401,-14653.601987622515
sgd_eth_stage3_purged,cost_aware_threshold,valid,2.5986568e-05,False,57,44141,807.7555970359692,-8017.09751726218,8824.853114298152,17631.170340349563,-0.18162473703047463,-9.925152542032068,-8019.471036825719
sgd_eth_stage3_purged,cost_aware_threshold,valid,3.1592543e-05,False,57,22739,513.3690570016107,-4032.6469211679987,4546.01597816961,9079.481717259569,-0.17734495453485197,-7.855259030844444,-4034.3088396679736
sgd_eth_stage3_purged,cost_aware_threshold,valid,3.7426348e-05,False,57,11578,236.69505676022027,-2077.9531266341996,2314.64818339442,4626.655024187716,-0.1794742724679737,-8.779030517478162,-2084.573730611751
sgd_eth_stage3_purged,cost_aware_threshold,valid,4.6214689e-05,True,57,4779,86.19275539593198,-869.2339629943722,955.426718390304,1910.8342572396327,-0.18188616091114715,-10.084768249970544,-872.1205297164003
sgd_eth_stage3_purged,RSEP-full,valid,0.0,False,57,59224,3017.238545711185,-8824.826054165318,11842.064599876503,23539.246893284027,-0.14900759918555515,-2.9248022390239092,-8824.887772119113
sgd_eth_stage3_purged,RSEP-full,valid,6.643185e-06,False,57,32831,1548.1608027781267,-5016.478010186523,6564.63881296465,13034.125424077843,-0.15279699095935312,-3.2402822763530814,-5016.749247764493
sgd_eth_stage3_purged,RSEP-full,valid,8.341058e-06,False,57,27056,1341.112568479832,-4068.780796950825,5409.8933654306575,10737.85576018998,-0.1503836781841671,-3.033884621305756,-4068.8425149045643
sgd_eth_stage3_purged,RSEP-full,valid,1.0363915e-05,False,57,21060,1029.969977699291,-3180.998674589693,4210.968652288983,8354.764214926068,-0.15104457144300537,-3.088438249137408,-3187.013842938131
sgd_eth_stage3_purged,RSEP-full,valid,1.3019828e-05,False,57,14686,683.3956252172522,-2253.0688387820005,2936.4644639992525,5823.1057710179675,-0.15341609960384042,-3.296873371212681,-2253.539997727751
sgd_eth_stage3_purged,RSEP-full,valid,1.732943e-05,False,57,7704,367.43944416572054,-1172.9587132970423,1540.3981574627628,3050.6005331585866,-0.15225320785267943,-3.1922504018594715,-1172.7112131780214
sgd_eth_stage3_purged,RSEP-full,valid,2.1242022e-05,True,57,3948,178.63241065183468,-610.7564607913753,789.3888714432098,1561.724819400234,-0.15470021803226325,-3.419068569710882,-610.9773083766819
sgd_eth_stage3_purged,RSEP-full,valid,2.4840977e-05,False,57,1996,87.58344845953002,-311.50918538194225,399.0926338414723,788.7063132125572,-0.15606672614325764,-3.556712950459839,-311.54076360962074
sgd_eth_stage3_purged,RSEP-full,valid,3.0015473e-05,False,57,810,15.782597724720237,-146.17654256255085,161.95914028727108,320.93058477291464,-0.1804648673611739,-9.261881035819279,-145.20806056612557
