model,policy,split,threshold,selected,n_trade_days,n_trades,gross_pnl,net_pnl,total_cost,turnover,net_pnl_per_trade,cost_survival,max_drawdown
sgd_eth_stage3,naive_threshold,valid,0.5,False,57,147994,1997.9554391259683,-27588.099305090753,29586.054744216723,59467.08133215421,-0.18641363369522246,-13.80816546997641,-27588.169906926832
sgd_eth_stage3,naive_threshold,valid,0.55,False,57,51711,248.83922158366516,-10087.749021143602,10336.588242727266,20880.80117400578,-0.1950793645673764,-40.53922431095486,-10092.356453782231
sgd_eth_stage3,naive_threshold,valid,0.6,True,55,10719,-18.631518624909724,-2160.9731005743392,2142.3415819494294,4354.4489256854085,-0.20160211778844475,,-2162.0911367579242
sgd_eth_stage3,naive_threshold,valid,0.65,False,49,518,4.7657612453143585,-98.75924477625153,103.52500602156593,210.745902074032,-0.19065491269546628,-20.722658919044775,-136.7681677512362
sgd_eth_stage3,naive_threshold,valid,0.7,False,16,23,-9.974210495644943,-14.571884630457713,4.59767413481277,9.258451871964764,-0.6335602013242484,,-13.949062812594411
sgd_eth_stage3,naive_threshold,valid,0.75,False,1,1,-0.3933618395140308,-0.5933229077113074,0.19996106819727658,0.4140863774478207,-0.5933229077113074,,0.0
sgd_eth_stage3,naive_threshold,valid,0.8,False,1,1,-0.3933618395140308,-0.5933229077113074,0.19996106819727658,0.4140863774478207,-0.5933229077113074,,0.0
sgd_eth_stage3,naive_threshold,valid,0.85,False,0,0,0.0,0.0,0.0,0.0,0.0,,0.0
sgd_eth_stage3,naive_threshold,valid,0.9,False,0,0,0.0,0.0,0.0,0.0,0.0,,0.0
sgd_eth_stage3,naive_threshold,valid,0.95,False,0,0,0.0,0.0,0.0,0.0,0.0,,0.0
sgd_eth_stage3,cost_aware_threshold,valid,0.0,False,57,304802,11383.922114393097,-49558.9741556077,60942.896270000805,121576.2730493978,-0.16259399267592634,-4.353418238249235,-49562.28154528231
sgd_eth_stage3,cost_aware_threshold,valid,9.530336e-06,False,57,172878,4591.140158009814,-29973.433190465115,34564.57334847493,69009.38127666917,-0.17337910659809297,-6.528538044775815,-29975.395640574043
sgd_eth_stage3,cost_aware_threshold,valid,1.2231107e-05,False,57,143227,3698.514733916755,-24937.424986019752,28635.93971993651,57186.30008849907,-0.17411120100274216,-6.742551207741393,-24940.40375555421
sgd_eth_stage3,cost_aware_threshold,valid,1.5489771e-05,False,57,111884,2675.4942311057957,-19693.65925178155,22369.153482887345,44673.66559171363,-0.1760185482444456,-7.360755640142815,-19697.669905879447
sgd_eth_stage3,cost_aware_threshold,valid,1.9729067e-05,False,57,78331,1739.1521414869703,-13921.48351766096,15660.635659147927,31274.93335874517,-0.17772636015959148,-8.004753112489704,-13923.447086159511
sgd_eth_stage3,cost_aware_threshold,valid,2.628791e-05,False,57,41666,1009.8258853262283,-7320.27072434811,8330.09660967434,16629.18522446251,-0.17568930841328925,-7.249042464368268,-7321.5112912498535
sgd_eth_stage3,cost_aware_threshold,valid,3.2251621e-05,False,57,21585,485.16811502737875,-3830.153855838012,4315.3219708653905,8604.933923623483,-0.17744516357831883,-7.894487987162699,-3831.771749295219
sgd_eth_stage3,cost_aware_threshold,valid,3.8058944e-05,False,57,11057,264.7616723543473,-1945.8153001097658,2210.576972464113,4406.533290730472,-0.17598040156550293,-7.349308843711933,-1951.418672451525
sgd_eth_stage3,cost_aware_threshold,valid,4.6384324e-05,True,57,4546,115.95287626417951,-792.9215099305984,908.8743861947778,1812.0794827763798,-0.17442180156854342,-6.838308246222867,-796.4002025200319
sgd_eth_stage3,RSEP-full,valid,0.0,False,57,55305,2591.603986858214,-8466.777083091438,11058.381069949652,21979.290784122142,-0.15309243437467568,-3.2670026462475317,-8466.838801045207
sgd_eth_stage3,RSEP-full,valid,6.255914e-06,False,57,30881,1374.0514022619673,-4800.621955882401,6174.673358144368,12261.436856968454,-0.15545552138474794,-3.4937717380729745,-4800.739285424124
sgd_eth_stage3,RSEP-full,valid,8.079993e-06,False,57,25452,1167.4983022852907,-3921.6301412553494,5089.12844354064,10104.092252996783,-0.15407944920852387,-3.359002864140403,-3921.767577566371
sgd_eth_stage3,RSEP-full,valid,1.0441989e-05,False,57,19704,900.3559994082229,-3039.4552387873123,3939.811238195535,7817.038344580592,-0.15425574699488998,-3.37583715861843,-3039.4563625370834
sgd_eth_stage3,RSEP-full,valid,1.3724005e-05,False,57,13504,606.7353443701522,-2093.379837183784,2700.115181553936,5351.180922301209,-0.1550192414976143,-3.4502355213159817,-2093.1747757015996
sgd_eth_stage3,RSEP-full,valid,1.9107056e-05,False,57,6921,292.17904802767976,-1091.666693962984,1383.8457419906638,2738.0165190835805,-0.15773250888065077,-3.7362935546958327,-1091.4191938439615
sgd_eth_stage3,RSEP-full,valid,2.3792219e-05,True,57,3498,113.32484993452337,-586.0946710934563,699.4195210279797,1382.3899032886688,-0.16755136394895837,-5.171810696701465,-586.2603642871059
sgd_eth_stage3,RSEP-full,valid,2.8378641e-05,False,57,1761,72.89940328824396,-279.2103374516141,352.10974073985807,696.2344772261831,-0.1585521507391335,-3.8300771317375193,-278.833193104884
sgd_eth_stage3,RSEP-full,valid,3.6941686e-05,False,57,711,14.74996496235138,-127.4179121457199,142.16787710807125,282.116744857654,-0.1792094404299858,-8.63852303859354,-127.78705224253282
