symbol,month,regime,n_rows
BTC-USDT,2024-01,BALANCED_TRANSITION,945948
BTC-USDT,2024-01,CALM_ILLIQUID,307388
BTC-USDT,2024-01,CHOPPY_MEAN_REVERTING,1038495
BTC-USDT,2024-01,LIQUIDITY_DROUGHT,119976
BTC-USDT,2024-01,MILD_LIQUIDITY_STRESS,571460
BTC-USDT,2024-01,MOMENTUM_TOXIC,939524
BTC-USDT,2024-01,SHOCK_RECOVERY,362779
BTC-USDT,2024-01,UNKNOWN,606763
BTC-USDT,2024-01,VOLATILE_ILLIQUID,262486
BTC-USDT,2024-02,BALANCED_TRANSITION,2100637
BTC-USDT,2024-02,CALM_ILLIQUID,173080
BTC-USDT,2024-02,CALM_LIQUID,3869
BTC-USDT,2024-02,CHOPPY_MEAN_REVERTING,905014
BTC-USDT,2024-02,LIQUIDITY_DROUGHT,174350
BTC-USDT,2024-02,MILD_LIQUIDITY_STRESS,1348134
BTC-USDT,2024-02,MOMENTUM_TOXIC,1432537
BTC-USDT,2024-02,SHOCK_RECOVERY,733217
BTC-USDT,2024-02,UNKNOWN,1099564
BTC-USDT,2024-02,VOLATILE_ILLIQUID,110210
BTC-USDT,2024-02,VOLATILE_LIQUID,3
BTC-USDT,2024-03,BALANCED_TRANSITION,2240605
BTC-USDT,2024-03,CALM_ILLIQUID,318291
BTC-USDT,2024-03,CALM_LIQUID,724231
BTC-USDT,2024-03,CHOPPY_MEAN_REVERTING,2343292
BTC-USDT,2024-03,LIQUIDITY_DROUGHT,191621
BTC-USDT,2024-03,MILD_LIQUIDITY_STRESS,1816693
BTC-USDT,2024-03,MOMENTUM_TOXIC,2416694
BTC-USDT,2024-03,SHOCK_RECOVERY,1326376
BTC-USDT,2024-03,UNKNOWN,1679339
BTC-USDT,2024-03,VOLATILE_ILLIQUID,237990
BTC-USDT,2024-03,VOLATILE_LIQUID,4175
BTC-USDT,2024-04,BALANCED_TRANSITION,2736278
BTC-USDT,2024-04,CALM_ILLIQUID,227641
BTC-USDT,2024-04,CALM_LIQUID,724774
BTC-USDT,2024-04,CHOPPY_MEAN_REVERTING,1786816
BTC-USDT,2024-04,LIQUIDITY_DROUGHT,190990
BTC-USDT,2024-04,MILD_LIQUIDITY_STRESS,2139540
BTC-USDT,2024-04,MOMENTUM_TOXIC,2450559
BTC-USDT,2024-04,SHOCK_RECOVERY,1353125
BTC-USDT,2024-04,UNKNOWN,1749485
BTC-USDT,2024-04,VOLATILE_ILLIQUID,142120
BTC-USDT,2024-04,VOLATILE_LIQUID,2411
BTC-USDT,2024-05,BALANCED_TRANSITION,3380562
BTC-USDT,2024-05,CALM_ILLIQUID,419585
BTC-USDT,2024-05,CALM_LIQUID,961014
BTC-USDT,2024-05,CHOPPY_MEAN_REVERTING,1068380
BTC-USDT,2024-05,LIQUIDITY_DROUGHT,287712
BTC-USDT,2024-05,MILD_LIQUIDITY_STRESS,2731673
BTC-USDT,2024-05,MOMENTUM_TOXIC,2654816
BTC-USDT,2024-05,SHOCK_RECOVERY,1417671
BTC-USDT,2024-05,UNKNOWN,1973941
BTC-USDT,2024-05,VOLATILE_ILLIQUID,201865
BTC-USDT,2024-05,VOLATILE_LIQUID,4471
BTC-USDT,2024-06,BALANCED_TRANSITION,2734442
BTC-USDT,2024-06,CALM_ILLIQUID,37997
BTC-USDT,2024-06,CALM_LIQUID,2567587
BTC-USDT,2024-06,CHOPPY_MEAN_REVERTING,683328
BTC-USDT,2024-06,LIQUIDITY_DROUGHT,199770
BTC-USDT,2024-06,MILD_LIQUIDITY_STRESS,2583134
BTC-USDT,2024-06,MOMENTUM_TOXIC,2299090
BTC-USDT,2024-06,SHOCK_RECOVERY,1360637
BTC-USDT,2024-06,UNKNOWN,1880522
BTC-USDT,2024-06,VOLATILE_ILLIQUID,18398
BTC-USDT,2024-06,VOLATILE_LIQUID,26625
BTC-USDT,2024-07,BALANCED_TRANSITION,3181588
BTC-USDT,2024-07,CALM_ILLIQUID,496015
BTC-USDT,2024-07,CALM_LIQUID,919953
BTC-USDT,2024-07,CHOPPY_MEAN_REVERTING,1310759
BTC-USDT,2024-07,LIQUIDITY_DROUGHT,309411
BTC-USDT,2024-07,MILD_LIQUIDITY_STRESS,2485478
BTC-USDT,2024-07,MOMENTUM_TOXIC,2689703
BTC-USDT,2024-07,SHOCK_RECOVERY,1371454
BTC-USDT,2024-07,UNKNOWN,2038223
BTC-USDT,2024-07,VOLATILE_ILLIQUID,243378
BTC-USDT,2024-07,VOLATILE_LIQUID,7817
BTC-USDT,2024-08,BALANCED_TRANSITION,3090809
BTC-USDT,2024-08,CALM_ILLIQUID,1734664
BTC-USDT,2024-08,CALM_LIQUID,113429
BTC-USDT,2024-08,CHOPPY_MEAN_REVERTING,1753160
BTC-USDT,2024-08,LIQUIDITY_DROUGHT,514643
