symbol,month,regime,n_rows
ETH-USDT,2024-01,BALANCED_TRANSITION,1272229
ETH-USDT,2024-01,CALM_ILLIQUID,262122
ETH-USDT,2024-01,CHOPPY_MEAN_REVERTING,763393
ETH-USDT,2024-01,LIQUIDITY_DROUGHT,91950
ETH-USDT,2024-01,MILD_LIQUIDITY_STRESS,750080
ETH-USDT,2024-01,MOMENTUM_TOXIC,937583
ETH-USDT,2024-01,SHOCK_RECOVERY,477022
ETH-USDT,2024-01,UNKNOWN,692788
ETH-USDT,2024-01,VOLATILE_ILLIQUID,232090
ETH-USDT,2024-02,BALANCED_TRANSITION,1771832
ETH-USDT,2024-02,CALM_ILLIQUID,16166
ETH-USDT,2024-02,CALM_LIQUID,26150
ETH-USDT,2024-02,CHOPPY_MEAN_REVERTING,768512
ETH-USDT,2024-02,LIQUIDITY_DROUGHT,118638
ETH-USDT,2024-02,MILD_LIQUIDITY_STRESS,1230113
ETH-USDT,2024-02,MOMENTUM_TOXIC,1171297
ETH-USDT,2024-02,SHOCK_RECOVERY,713727
ETH-USDT,2024-02,UNKNOWN,990257
ETH-USDT,2024-02,VOLATILE_ILLIQUID,13734
ETH-USDT,2024-02,VOLATILE_LIQUID,1226
ETH-USDT,2024-03,BALANCED_TRANSITION,1419517
ETH-USDT,2024-03,CALM_ILLIQUID,8965
ETH-USDT,2024-03,CALM_LIQUID,1031815
ETH-USDT,2024-03,CHOPPY_MEAN_REVERTING,1701653
ETH-USDT,2024-03,LIQUIDITY_DROUGHT,164241
ETH-USDT,2024-03,MILD_LIQUIDITY_STRESS,1490789
ETH-USDT,2024-03,MOMENTUM_TOXIC,1669710
ETH-USDT,2024-03,SHOCK_RECOVERY,1076964
ETH-USDT,2024-03,UNKNOWN,1166119
ETH-USDT,2024-03,VOLATILE_ILLIQUID,16301
ETH-USDT,2024-03,VOLATILE_LIQUID,92403
ETH-USDT,2024-04,BALANCED_TRANSITION,1743656
ETH-USDT,2024-04,CALM_ILLIQUID,5108
ETH-USDT,2024-04,CALM_LIQUID,142556
ETH-USDT,2024-04,CHOPPY_MEAN_REVERTING,1529453
ETH-USDT,2024-04,LIQUIDITY_DROUGHT,120774
ETH-USDT,2024-04,MILD_LIQUIDITY_STRESS,1305231
ETH-USDT,2024-04,MOMENTUM_TOXIC,1414806
ETH-USDT,2024-04,SHOCK_RECOVERY,889718
ETH-USDT,2024-04,UNKNOWN,1122680
ETH-USDT,2024-04,VOLATILE_ILLIQUID,8812
ETH-USDT,2024-04,VOLATILE_LIQUID,13361
ETH-USDT,2024-05,BALANCED_TRANSITION,2018527
ETH-USDT,2024-05,CALM_ILLIQUID,2149
ETH-USDT,2024-05,CALM_LIQUID,107924
ETH-USDT,2024-05,CHOPPY_MEAN_REVERTING,1105526
ETH-USDT,2024-05,LIQUIDITY_DROUGHT,174369
ETH-USDT,2024-05,MILD_LIQUIDITY_STRESS,1372065
ETH-USDT,2024-05,MOMENTUM_TOXIC,1393766
ETH-USDT,2024-05,SHOCK_RECOVERY,814972
ETH-USDT,2024-05,UNKNOWN,1210355
ETH-USDT,2024-05,VOLATILE_ILLIQUID,3359
ETH-USDT,2024-05,VOLATILE_LIQUID,11541
ETH-USDT,2024-06,BALANCED_TRANSITION,1110902
ETH-USDT,2024-06,CALM_ILLIQUID,656
ETH-USDT,2024-06,CALM_LIQUID,1745540
ETH-USDT,2024-06,CHOPPY_MEAN_REVERTING,547892
ETH-USDT,2024-06,LIQUIDITY_DROUGHT,137399
ETH-USDT,2024-06,MILD_LIQUIDITY_STRESS,1183886
ETH-USDT,2024-06,MOMENTUM_TOXIC,1379570
ETH-USDT,2024-06,SHOCK_RECOVERY,853337
ETH-USDT,2024-06,UNKNOWN,875680
ETH-USDT,2024-06,VOLATILE_ILLIQUID,1393
ETH-USDT,2024-06,VOLATILE_LIQUID,232488
ETH-USDT,2024-07,BALANCED_TRANSITION,1640374
ETH-USDT,2024-07,CALM_ILLIQUID,829
ETH-USDT,2024-07,CALM_LIQUID,746896
ETH-USDT,2024-07,CHOPPY_MEAN_REVERTING,979762
ETH-USDT,2024-07,LIQUIDITY_DROUGHT,207436
ETH-USDT,2024-07,MILD_LIQUIDITY_STRESS,1391386
ETH-USDT,2024-07,MOMENTUM_TOXIC,1431805
ETH-USDT,2024-07,SHOCK_RECOVERY,831834
ETH-USDT,2024-07,UNKNOWN,1141979
ETH-USDT,2024-07,VOLATILE_ILLIQUID,1544
ETH-USDT,2024-07,VOLATILE_LIQUID,110272
ETH-USDT,2024-08,BALANCED_TRANSITION,1890932
ETH-USDT,2024-08,CALM_ILLIQUID,1141477
ETH-USDT,2024-08,CHOPPY_MEAN_REVERTING,1329779
ETH-USDT,2024-08,LIQUIDITY_DROUGHT,223537
ETH-USDT,2024-08,MILD_LIQUIDITY_STRESS,1119411
ETH-USDT,2024-08,MOMENTUM_TOXIC,1679402
ETH-USDT,2024-08,SHOCK_RECOVERY,606256
ETH-USDT,2024-08,UNKNOWN,1089088
ETH-USDT,2024-08,VOLATILE_ILLIQUID,807285
ETH-USDT,2024-09,BALANCED_TRANSITION,2868297
ETH-USDT,2024-09,CALM_ILLIQUID,1854760
ETH-USDT,2024-09,CHOPPY_MEAN_REVERTING,687215
ETH-USDT,2024-09,LIQUIDITY_DROUGHT,375704
ETH-USDT,2024-09,MILD_LIQUIDITY_STRESS,1442638
ETH-USDT,2024-09,MOMENTUM_TOXIC,2105379
ETH-USDT,2024-09,SHOCK_RECOVERY,751106
ETH-USDT,2024-09,UNKNOWN,1389860
ETH-USDT,2024-09,VOLATILE_ILLIQUID,897801
ETH-USDT,2024-10,BALANCED_TRANSITION,2818800
ETH-USDT,2024-10,CALM_ILLIQUID,1837207
ETH-USDT,2024-10,CHOPPY_MEAN_REVERTING,668368
ETH-USDT,2024-10,LIQUIDITY_DROUGHT,471342
ETH-USDT,2024-10,MILD_LIQUIDITY_STRESS,1420139
ETH-USDT,2024-10,MOMENTUM_TOXIC,2111311
ETH-USDT,2024-10,SHOCK_RECOVERY,786135
ETH-USDT,2024-10,UNKNOWN,1443771
ETH-USDT,2024-10,VOLATILE_ILLIQUID,888064
ETH-USDT,2024-11,BALANCED_TRANSITION,2255042
ETH-USDT,2024-11,CALM_ILLIQUID,460872
ETH-USDT,2024-11,CALM_LIQUID,127440
ETH-USDT,2024-11,CHOPPY_MEAN_REVERTING,2306513
ETH-USDT,2024-11,LIQUIDITY_DROUGHT,370564
ETH-USDT,2024-11,MILD_LIQUIDITY_STRESS,1735209
ETH-USDT,2024-11,MOMENTUM_TOXIC,2060989
ETH-USDT,2024-11,SHOCK_RECOVERY,1075035
ETH-USDT,2024-11,UNKNOWN,1671728
ETH-USDT,2024-11,VOLATILE_ILLIQUID,234407
ETH-USDT,2024-11,VOLATILE_LIQUID,17168
ETH-USDT,2024-12,BALANCED_TRANSITION,1985524
ETH-USDT,2024-12,CALM_ILLIQUID,4352
ETH-USDT,2024-12,CALM_LIQUID,615684
ETH-USDT,2024-12,CHOPPY_MEAN_REVERTING,2185569
ETH-USDT,2024-12,LIQUIDITY_DROUGHT,371859
ETH-USDT,2024-12,MILD_LIQUIDITY_STRESS,1959067
ETH-USDT,2024-12,MOMENTUM_TOXIC,2051422
ETH-USDT,2024-12,SHOCK_RECOVERY,1218659
ETH-USDT,2024-12,UNKNOWN,1713666
ETH-USDT,2024-12,VOLATILE_ILLIQUID,8094
ETH-USDT,2024-12,VOLATILE_LIQUID,77552
