regime,rel_spread,total_depth_10,vol_score,liquidity_drought_score,adverse_selection_score
BALANCED_TRANSITION,1.2908566e-07,9.748179,-0.7504453,-0.5167483,-0.63050246
CALM_ILLIQUID,2.0295337e-07,7.06783,-1.0807084,0.8676518,-0.637193
CALM_LIQUID,1.1579419e-07,13.316039,-0.9904074,-0.8430101,-0.59056747
CHOPPY_MEAN_REVERTING,1.3536744e-07,7.8454003,-0.14628726,-0.021631189,-0.66287786
LIQUIDITY_DROUGHT,1.9326387e-07,5.7779303,-0.088789925,2.2719824,-0.45886314
MILD_LIQUIDITY_STRESS,1.7237402e-07,8.00096,-0.6326394,0.8262301,-0.49643633
MOMENTUM_TOXIC,1.3575855e-07,9.394751,1.2634716,-0.14258379,1.8949538
SHOCK_RECOVERY,1.1867014e-07,9.8096895,1.3057166,-0.47647724,-0.16787876
UNKNOWN,1.6796254e-07,9.1060505,0.080314256,0.18781546,0.119087756
VOLATILE_ILLIQUID,2.05031e-07,6.9537206,1.3300827,0.76649463,-0.30729032
VOLATILE_LIQUID,1.1681738e-07,12.412759,1.4655163,1.0897325,-0.38676375
