regime,rel_spread,total_depth_10,vol_score,liquidity_drought_score,adverse_selection_score
BALANCED_TRANSITION,3.356029e-06,107.02351,-0.79570735,-0.5155239,-0.65889287
CALM_ILLIQUID,3.9731776e-06,72.2917,-1.1537409,0.66940635,-0.67732716
CALM_LIQUID,2.8269903e-06,134.2051,-1.1119113,-0.60494494,-0.636569
CHOPPY_MEAN_REVERTING,3.1193129e-06,79.1701,-0.18701117,0.05488544,-0.70523417
LIQUIDITY_DROUGHT,3.44393e-06,61.081196,0.215464,1.8905501,-0.124861345
MILD_LIQUIDITY_STRESS,3.1732056e-06,80.9339,-0.456973,0.78189903,-0.4491018
MOMENTUM_TOXIC,3.2384055e-06,94.824104,1.0013566,0.039555024,1.8198979
SHOCK_RECOVERY,3.1029806e-06,102.5601,1.3197656,-0.23885193,-0.080008626
UNKNOWN,3.2134028e-06,93.683105,0.16361025,0.11815858,0.28948388
VOLATILE_ILLIQUID,3.973083e-06,71.277405,1.3351097,0.6262773,-0.25413662
VOLATILE_LIQUID,2.8461213e-06,134.81018,1.3078046,-0.013526082,-0.044909354
