regime,rel_spread,total_depth_10,vol_score,liquidity_drought_score,adverse_selection_score,liquidity_score,stress_score,directional_toxicity_score
BALANCED_TRANSITION,1.2908566e-07,9.748179,-0.7504453,-0.5167483,-0.63050246,0.5167483,-1.3653402,-0.0022812486
CALM_ILLIQUID,2.0295337e-07,7.06783,-1.0807084,0.8676518,-0.637193,-0.8676518,-0.3280201,-0.012352467
CALM_LIQUID,1.1579419e-07,13.316039,-0.9904074,-0.8430101,-0.59056747,0.8430101,-1.9746132,0.0
CHOPPY_MEAN_REVERTING,1.3536744e-07,7.8454003,-0.14628726,-0.021631189,-0.66287786,0.021631189,-0.20217033,-0.36693138
LIQUIDITY_DROUGHT,1.9326387e-07,5.7779303,-0.088789925,2.2719824,-0.45886314,-2.2719824,2.3297274,0.0
MILD_LIQUIDITY_STRESS,1.7237402e-07,8.00096,-0.6326394,0.8262301,-0.49643633,-0.8262301,0.3128721,0.0
MOMENTUM_TOXIC,1.3575855e-07,9.394751,1.2634716,-0.14258379,1.8949538,0.14258379,0.97699076,3.9419384
SHOCK_RECOVERY,1.1867014e-07,9.8096895,1.3057166,-0.47647724,-0.16787876,0.47647724,0.8288042,0.52984285
UNKNOWN,1.6796254e-07,9.1060505,0.080314256,0.18781546,0.119087756,-0.18781546,0.21330011,1.0751501
VOLATILE_ILLIQUID,2.05031e-07,6.9537206,1.3300827,0.76649463,-0.30729032,-0.76649463,2.1465726,0.21853466
VOLATILE_LIQUID,1.1681738e-07,12.412759,1.4655163,1.0897325,-0.38676375,-1.0897325,2.4975777,0.0
