regime,rel_spread,total_depth_10,vol_score,liquidity_drought_score,adverse_selection_score,liquidity_score,stress_score,directional_toxicity_score
BALANCED_TRANSITION,3.356029e-06,107.02351,-0.79570735,-0.5155239,-0.65889287,0.5155239,-1.3926954,-0.14673553
CALM_ILLIQUID,3.9731776e-06,72.2917,-1.1537409,0.66940635,-0.67732716,-0.66940635,-0.6010929,-0.15512645
CALM_LIQUID,2.8269903e-06,134.2051,-1.1119113,-0.60494494,-0.636569,0.60494494,-1.8401928,-0.090954185
CHOPPY_MEAN_REVERTING,3.1193129e-06,79.1701,-0.18701117,0.05488544,-0.70523417,-0.05488544,-0.16923419,-0.37954307
LIQUIDITY_DROUGHT,3.44393e-06,61.081196,0.215464,1.8905501,-0.124861345,-1.8905501,2.1738434,0.5097643
MILD_LIQUIDITY_STRESS,3.1732056e-06,80.9339,-0.456973,0.78189903,-0.4491018,-0.78189903,0.36178237,0.031504117
MOMENTUM_TOXIC,3.2384055e-06,94.824104,1.0013566,0.039555024,1.8198979,-0.039555024,0.90381485,3.785738
SHOCK_RECOVERY,3.1029806e-06,102.5601,1.3197656,-0.23885193,-0.080008626,0.23885193,1.109184,0.7783317
UNKNOWN,3.2134028e-06,93.683105,0.16361025,0.11815858,0.28948388,-0.11815858,-0.13089332,1.369464
VOLATILE_ILLIQUID,3.973083e-06,71.277405,1.3351097,0.6262773,-0.25413662,-0.6262773,2.0011759,0.35650417
VOLATILE_LIQUID,2.8461213e-06,134.81018,1.3078046,-0.013526082,-0.044909354,0.013526082,1.3336881,0.64752924
