regime,n_runs,mean_run_length,p50_run_length,p90_run_length,p99_run_length,max_run_length
BALANCED_TRANSITION,2932985,12.1579960347564,4.0,31.0,117.0,699
CALM_ILLIQUID,542905,10.480675256260303,3.0,25.0,116.0,461
CALM_LIQUID,539706,14.496101581231263,3.0,35.0,197.0,536
CHOPPY_MEAN_REVERTING,1277997,13.741866373708232,9.0,33.0,72.0,288
LIQUIDITY_DROUGHT,929724,4.788816896197151,1.0,11.0,50.0,235
MILD_LIQUIDITY_STRESS,3448280,7.948191852169777,3.0,19.0,75.0,404
MOMENTUM_TOXIC,1321641,22.27361817619157,16.0,50.0,74.0,182
SHOCK_RECOVERY,1398986,10.390037498588264,5.0,29.0,57.0,175
UNKNOWN,3640774,6.07613518444155,3.0,15.0,48.0,232
VOLATILE_ILLIQUID,511211,5.874337602281641,2.0,15.0,50.0,148
VOLATILE_LIQUID,11130,5.247439353099731,2.0,13.0,50.0,97
