regime,n_rows,share
BALANCED_TRANSITION,35659220,0.21257193669776855
MOMENTUM_TOXIC,29437727,0.17548433870315144
MILD_LIQUIDITY_STRESS,27407591,0.16338228091052834
UNKNOWN,22121835,0.13187280342246635
CHOPPY_MEAN_REVERTING,17562064,0.10469107167487567
SHOCK_RECOVERY,14535517,0.08664920319606931
CALM_LIQUID,7823633,0.04663828369836954
CALM_ILLIQUID,5690011,0.033919324598283604
LIQUIDITY_DROUGHT,4452278,0.026540943889879463
VOLATILE_ILLIQUID,3003026,0.01790165496535687
VOLATILE_LIQUID,58404,0.0003481582432508752
