regime,n_rows,share
BALANCED_TRANSITION,22795632,0.19923738117899864
MOMENTUM_TOXIC,19407040,0.1696205582734479
MILD_LIQUIDITY_STRESS,16400014,0.14333868175529918
CHOPPY_MEAN_REVERTING,14573635,0.12737584426957743
UNKNOWN,14507971,0.1268019306620171
SHOCK_RECOVERY,10094765,0.08822982149463608
CALM_ILLIQUID,5594663,0.048898227726217026
CALM_LIQUID,4544005,0.039715312839945636
VOLATILE_ILLIQUID,3112884,0.02720709195840703
LIQUIDITY_DROUGHT,2827813,0.024715526930068343
VOLATILE_LIQUID,556011,0.004859622911385664
