algorithm,regime,cluster,n_rows,within_regime_share,within_cluster_share
kmeans,BALANCED_TRANSITION,0,5275,0.058044851339157995,0.09252600375366157
kmeans,BALANCED_TRANSITION,1,42693,0.4697836660137767,0.4979356193142057
kmeans,BALANCED_TRANSITION,2,42910,0.4721714826470653,0.7495327429300075
kmeans,MILD_LIQUIDITY_STRESS,0,21938,0.41114734435323663,0.38480293276736066
kmeans,MILD_LIQUIDITY_STRESS,1,31420,0.5888526556467634,0.3664567296477723
kmeans,UNKNOWN,0,29798,0.5343590847141525,0.5226710634789777
kmeans,UNKNOWN,1,11627,0.20850369413958827,0.13560765103802191
kmeans,UNKNOWN,2,14339,0.25713722114625925,0.2504672570699925
gmm,BALANCED_TRANSITION,0,7364,0.08103171284579326,0.46111458985598
gmm,BALANCED_TRANSITION,1,22651,0.2492462422148375,0.2191466718266254
gmm,BALANCED_TRANSITION,2,60863,0.6697220449393693,0.7544688236023305
gmm,MILD_LIQUIDITY_STRESS,0,507,0.009501855391881255,0.031747025673137134
gmm,MILD_LIQUIDITY_STRESS,1,52851,0.9904981446081187,0.5113293343653251
gmm,UNKNOWN,0,8099,0.14523707051144108,0.5071383844708829
gmm,UNKNOWN,1,27858,0.4995696148052507,0.26952399380804953
gmm,UNKNOWN,2,19807,0.3551933146833082,0.24553117639766953
