algorithm,regime,cluster,n_rows,within_regime_share,within_cluster_share
kmeans,BALANCED_TRANSITION,0,42211,0.4351245760702615,0.8257076348271748
kmeans,BALANCED_TRANSITION,1,47055,0.4850580873939531,0.5050228604546333
kmeans,BALANCED_TRANSITION,2,7743,0.07981733653578534,0.1390000897585495
kmeans,MILD_LIQUIDITY_STRESS,1,34412,0.6303141313307079,0.36933049992487177
kmeans,MILD_LIQUIDITY_STRESS,2,20183,0.36968586866929204,0.36231936091912753
kmeans,UNKNOWN,0,8910,0.18410612447309696,0.17429236517282526
kmeans,UNKNOWN,1,11707,0.2419001570377717,0.125646639620495
kmeans,UNKNOWN,2,27779,0.5739937184891314,0.498680549322323
gmm,BALANCED_TRANSITION,0,29373,0.30278633941180716,0.2625167575297167
gmm,BALANCED_TRANSITION,1,5954,0.061375748641878586,0.5618041139837705
gmm,BALANCED_TRANSITION,2,61682,0.6358379119463142,0.7957735576426875
gmm,MILD_LIQUIDITY_STRESS,0,54372,0.9959153768660134,0.4859415497363482
gmm,MILD_LIQUIDITY_STRESS,1,223,0.004084623133986629,0.021041705982260805
gmm,UNKNOWN,0,28145,0.581556326969171,0.2515416927339351
gmm,UNKNOWN,1,4421,0.09135052483676337,0.41715418003396865
gmm,UNKNOWN,2,15830,0.32709314819406565,0.2042264423573124
