policy,regime,gross_pnl,net_pnl,n_trades
RSEP-full,BALANCED_TRANSITION,28695.872472326468,-64999.54489473688,468840
RSEP-full,CALM_ILLIQUID,256.90656371846495,-379.21329352029755,3181
RSEP-full,CALM_LIQUID,3662.129174910739,-7592.0697565595365,56289
RSEP-full,CHOPPY_MEAN_REVERTING,1787.4541636589672,-4232.084950782818,30116
RSEP-full,LIQUIDITY_DROUGHT,95.53077562834117,-276.3151756627894,1861
RSEP-full,MILD_LIQUIDITY_STRESS,1482.5919109441477,-4505.124044477841,29960
RSEP-full,MOMENTUM_TOXIC,668.7778269234225,-1355.0697549948236,10124
RSEP-full,SHOCK_RECOVERY,9930.3307293438,-25819.603079406414,178870
RSEP-full,UNKNOWN,5325.621036463759,-13322.988130508904,93314
RSEP-full,VOLATILE_ILLIQUID,77.20877814532199,-163.62338666342666,1205
RSEP-full,VOLATILE_LIQUID,0.9071347248800207,-1.0927614050341725,10
RSEP-no-latency-risk,BALANCED_TRANSITION,29882.941728800215,-69444.32696080935,497008
RSEP-no-latency-risk,CALM_ILLIQUID,265.5637403239274,-401.7498938844535,3337
RSEP-no-latency-risk,CALM_LIQUID,3762.9127380883156,-7936.333747201551,58514
RSEP-no-latency-risk,CHOPPY_MEAN_REVERTING,1806.9814961599513,-4443.941160204303,31274
RSEP-no-latency-risk,LIQUIDITY_DROUGHT,95.13625490729201,-285.70864665798854,1906
RSEP-no-latency-risk,MILD_LIQUIDITY_STRESS,1497.3966514006806,-4791.289157180004,31465
RSEP-no-latency-risk,MOMENTUM_TOXIC,667.2621312308592,-1397.381179197185,10328
RSEP-no-latency-risk,SHOCK_RECOVERY,10461.798145373916,-28088.067575974834,192873
RSEP-no-latency-risk,UNKNOWN,5455.411476854944,-14074.3093826626,97722
RSEP-no-latency-risk,VOLATILE_ILLIQUID,77.62754610476385,-173.8028536415346,1258
RSEP-no-latency-risk,VOLATILE_LIQUID,0.9124612646372151,-1.2874339605741836,11
RSEP-no-liquidity-risk,BALANCED_TRANSITION,33659.319065317475,-75479.4173309887,546105
RSEP-no-liquidity-risk,CALM_ILLIQUID,833.346421344844,-1555.1438770688562,11944
RSEP-no-liquidity-risk,CALM_LIQUID,3884.09597130457,-7899.509692795807,58937
RSEP-no-liquidity-risk,CHOPPY_MEAN_REVERTING,2335.5999354763644,-5956.082887760448,41483
RSEP-no-liquidity-risk,LIQUIDITY_DROUGHT,354.72627140860135,-942.8906519192321,6493
RSEP-no-liquidity-risk,MILD_LIQUIDITY_STRESS,14217.1863913027,-31988.09754112635,231180
RSEP-no-liquidity-risk,MOMENTUM_TOXIC,907.5442381903476,-1962.484161232988,14356
RSEP-no-liquidity-risk,SHOCK_RECOVERY,13218.589350977987,-33804.93063795315,235263
RSEP-no-liquidity-risk,UNKNOWN,13383.233321057834,-32261.569047107805,228384
RSEP-no-liquidity-risk,VOLATILE_ILLIQUID,120.9089919456981,-275.4430514640686,1983
RSEP-no-liquidity-risk,VOLATILE_LIQUID,15.952411535622016,-11.245644130158967,136
RSEP-no-adverse-risk,BALANCED_TRANSITION,31415.45118542369,-70887.92055381821,511908
RSEP-no-adverse-risk,CALM_ILLIQUID,312.48356030533535,-581.1990514741295,4469
RSEP-no-adverse-risk,CALM_LIQUID,4853.283346514329,-9760.375267094663,73093
RSEP-no-adverse-risk,CHOPPY_MEAN_REVERTING,2604.328462436812,-6754.394540122902,46825
RSEP-no-adverse-risk,LIQUIDITY_DROUGHT,151.67018284720524,-513.5299260287358,3329
RSEP-no-adverse-risk,MILD_LIQUIDITY_STRESS,2395.07912599477,-7888.789845223892,51453
RSEP-no-adverse-risk,MOMENTUM_TOXIC,2986.1169199068186,-6254.706814371928,46226
RSEP-no-adverse-risk,SHOCK_RECOVERY,21013.067484022442,-55010.481905715984,380374
RSEP-no-adverse-risk,UNKNOWN,23784.672660762044,-59314.015971491914,415788
RSEP-no-adverse-risk,VOLATILE_ILLIQUID,103.91773568282284,-337.29159789456673,2207
RSEP-no-adverse-risk,VOLATILE_LIQUID,2.2973096134921906,-3.5024312569560836,29
RSEP-no-regime-penalty,BALANCED_TRANSITION,28882.60338768888,-65592.51595019782,472739
RSEP-no-regime-penalty,CALM_ILLIQUID,276.52129483205886,-392.39271084321535,3345
RSEP-no-regime-penalty,CALM_LIQUID,3690.7419420232522,-7658.844788363636,56766
RSEP-no-regime-penalty,CHOPPY_MEAN_REVERTING,27028.702077955095,-69532.73539366895,483094
RSEP-no-regime-penalty,LIQUIDITY_DROUGHT,121.95808681753785,-462.3083218041981,2924
RSEP-no-regime-penalty,MILD_LIQUIDITY_STRESS,1613.997048389928,-4626.392801437653,31226
RSEP-no-regime-penalty,MOMENTUM_TOXIC,665.4991375305614,-1447.3372414796916,10569
RSEP-no-regime-penalty,SHOCK_RECOVERY,10232.98984205288,-26419.92615708121,183388
RSEP-no-regime-penalty,UNKNOWN,5509.121615240469,-13851.750329935996,96876
RSEP-no-regime-penalty,VOLATILE_ILLIQUID,174.4864405621768,-475.4639880109783,3251
RSEP-no-regime-penalty,VOLATILE_LIQUID,1.4938538714306215,-0.7059835705010228,11
