model,axis,level,n_trades,gross_pnl,net_pnl,total_cost,turnover,net_pnl_per_trade,cost_survival,max_drawdown
sgd_eth_stage3_purged,fee_bps,0.0,42889,2545.283633180199,2545.283633180199,0.0,12494.836523981321,0.059345837701513186,1.0,-14.233537399009947
sgd_eth_stage3_purged,fee_bps,1.0,42889,2545.283633180199,-6030.338030059139,8575.621663239337,12494.836523981321,-0.14060337219471516,-2.369220448144927,-6030.939351605876
sgd_eth_stage3_purged,fee_bps,2.0,42889,2545.283633180199,-14605.959693298475,17151.243326478674,12494.836523981321,-0.34055258209094347,-5.738440896289853,-14605.97138948517
sgd_eth_stage3_purged,fee_bps,5.0,42889,2545.283633180199,-40332.824683016486,42878.10831619669,12494.836523981321,-0.9404002117796285,-15.846102240724633,-40332.2365039406
sgd_eth_stage3_purged,fee_bps,10.0,42889,2545.283633180199,-83210.93299921317,85756.21663239338,12494.836523981321,-1.94014626126077,-32.69220448144927,-83209.3450280324
sgd_eth_stage3_purged,latency_events,0.0,42875,3700.2311704076596,-4871.353870094765,8571.585040502423,12489.378597452473,-0.11361758297597119,-1.3164998741303184,-4872.231411019521
sgd_eth_stage3_purged,latency_events,1.0,42889,2545.283633180199,-6030.338030059139,8575.621663239337,12494.836523981321,-0.14060337219471516,-2.369220448144927,-6030.939351605876
sgd_eth_stage3_purged,latency_events,5.0,42892,1127.2861538772752,-7449.4910239164765,8576.777177793752,12496.352044273337,-0.17368019733088866,-6.608340746751941,-7449.553544569841
sgd_eth_stage3_purged,latency_events,10.0,42894,544.8689386669741,-8032.271481474943,8577.140420141915,12496.788070740995,-0.1872586254831665,-14.7416578767106,-8032.199961690339
sgd_eth_stage3_purged,spread_multiplier,1.0,42889,2545.283633180199,-6030.338030059139,8575.621663239337,12494.836523981321,-0.14060337219471516,-2.369220448144927,-6030.939351605876
sgd_eth_stage3_purged,spread_multiplier,1.5,42889,2243.9637136141314,-6331.667818364276,8575.631531978408,12494.836523981321,-0.147629178072799,-2.82164447666869,-6332.225528348351
sgd_eth_stage3_purged,spread_multiplier,2.0,42889,1942.6437940480605,-6632.99760666942,8575.64140071748,12494.836523981321,-0.15465498395088298,-3.414417829450684,-6633.511705090871
sgd_eth_stage3_purged,depth_multiplier,1.0,42889,2545.283633180199,-6030.338030059139,8575.621663239337,12494.836523981321,-0.14060337219471516,-2.369220448144927,-6030.939351605876
sgd_eth_stage3_purged,depth_multiplier,0.75,42885,2466.234787789753,-6108.35622856693,8574.591016356684,12493.337536289002,-0.1424357287761905,-2.476794285284272,-6108.9342119216935
sgd_eth_stage3_purged,depth_multiplier,0.5,42880,2320.9219071699304,-6249.015231658768,8569.937138828698,12486.65796231178,-0.14573263133532574,-2.69247113069765,-6249.547543080971
