model,axis,level,n_trades,gross_pnl,net_pnl,total_cost,turnover,net_pnl_per_trade,cost_survival,max_drawdown
sgd_eth_stage3,fee_bps,0.0,30216,1753.0854656295908,1753.0854656295908,0.0,8771.37603580049,0.05801844935231635,1.0,-12.069453217630553
sgd_eth_stage3,fee_bps,1.0,30216,1753.0854656295908,-4288.766012688524,6041.851478318115,8771.37603580049,-0.14193692125657015,-2.44641011335308,-4289.447629688059
sgd_eth_stage3,fee_bps,2.0,30216,1753.0854656295908,-10330.61749100664,12083.70295663623,8771.37603580049,-0.3418922918654567,-5.892820226706161,-10330.62918719343
sgd_eth_stage3,fee_bps,5.0,30216,1753.0854656295908,-28456.171925960985,30209.257391590578,8771.37603580049,-0.9417584036921163,-16.232050566765402,-28455.58374688492
sgd_eth_stage3,fee_bps,10.0,30216,1753.0854656295908,-58665.42931755156,60418.514783181156,8771.37603580049,-1.941535256736549,-33.464101133530804,-58663.84134637059
sgd_eth_stage3,latency_events,0.0,30207,2589.8388670340173,-3449.480625462238,6039.3194924962545,8768.059443254455,-0.11419474378330315,-1.3319286652812943,-3450.4148657792566
sgd_eth_stage3,latency_events,1.0,30216,1753.0854656295908,-4288.766012688524,6041.851478318115,8771.37603580049,-0.14193692125657015,-2.44641011335308,-4289.447629688059
sgd_eth_stage3,latency_events,5.0,30218,751.2141324085349,-5291.367746655984,6042.581879064519,8772.301996524327,-0.175106484434972,-7.043754261772015,-5291.818746432673
sgd_eth_stage3,latency_events,10.0,30219,366.8231577294589,-5675.822256515157,6042.645414244616,8772.361851164858,-0.1878229675540275,-15.47291150222641,-5676.145857539603
sgd_eth_stage3,spread_multiplier,1.0,30216,1753.0854656295908,-4288.766012688524,6041.851478318115,8771.37603580049,-0.14193692125657015,-2.44641011335308,-4289.447629688059
sgd_eth_stage3,spread_multiplier,1.5,30216,1556.5855388011305,-4485.271364120613,6041.856902921743,8771.37603580049,-0.1484402754871794,-2.8814808131746696,-4485.912902566878
sgd_eth_stage3,spread_multiplier,2.0,30216,1360.0856119726732,-4681.776715552698,6041.862327525371,8771.37603580049,-0.15494362971778852,-3.442266188495467,-4682.378175445725
sgd_eth_stage3,depth_multiplier,1.0,30216,1753.0854656295908,-4288.766012688524,6041.851478318115,8771.37603580049,-0.14193692125657015,-2.44641011335308,-4289.447629688059
sgd_eth_stage3,depth_multiplier,0.75,30213,1701.1028847914956,-4339.957991227639,6041.0608760191335,8770.269333937622,-0.14364538414681224,-2.5512613199521956,-4340.616270035147
sgd_eth_stage3,depth_multiplier,0.5,30209,1606.7788196755364,-4430.907948503691,6037.686768179226,8765.488739867336,-0.14667509512078158,-2.7576340279357447,-4431.520555378637
