symbol,split,regime,rows
BTC-USDT,test,BALANCED_TRANSITION,49
BTC-USDT,test,CALM_LIQUID,10
BTC-USDT,test,LIQUIDITY_DROUGHT,81
BTC-USDT,test,MOMENTUM_TOXIC,113
BTC-USDT,test,UNKNOWN,55
BTC-USDT,test,VOLATILE_ILLIQUID,179
BTC-USDT,test,VOLATILE_LIQUID,101
BTC-USDT,train,BALANCED_TRANSITION,266
BTC-USDT,train,CALM_LIQUID,110
BTC-USDT,train,LIQUIDITY_DROUGHT,114
BTC-USDT,train,MOMENTUM_TOXIC,199
BTC-USDT,train,UNKNOWN,131
BTC-USDT,train,VOLATILE_ILLIQUID,207
BTC-USDT,train,VOLATILE_LIQUID,98
BTC-USDT,valid,BALANCED_TRANSITION,167
BTC-USDT,valid,CALM_LIQUID,108
BTC-USDT,valid,LIQUIDITY_DROUGHT,20
BTC-USDT,valid,MOMENTUM_TOXIC,170
BTC-USDT,valid,UNKNOWN,12
BTC-USDT,valid,VOLATILE_ILLIQUID,33
BTC-USDT,valid,VOLATILE_LIQUID,27
ETH-USDT,test,BALANCED_TRANSITION,53
ETH-USDT,test,CALM_LIQUID,7
ETH-USDT,test,LIQUIDITY_DROUGHT,97
ETH-USDT,test,MOMENTUM_TOXIC,114
ETH-USDT,test,UNKNOWN,71
ETH-USDT,test,VOLATILE_ILLIQUID,169
ETH-USDT,test,VOLATILE_LIQUID,77
ETH-USDT,train,BALANCED_TRANSITION,270
ETH-USDT,train,CALM_LIQUID,123
ETH-USDT,train,LIQUIDITY_DROUGHT,113
ETH-USDT,train,MOMENTUM_TOXIC,203
ETH-USDT,train,UNKNOWN,127
ETH-USDT,train,VOLATILE_ILLIQUID,206
ETH-USDT,train,VOLATILE_LIQUID,83
ETH-USDT,valid,BALANCED_TRANSITION,174
ETH-USDT,valid,CALM_LIQUID,85
ETH-USDT,valid,LIQUIDITY_DROUGHT,34
ETH-USDT,valid,MOMENTUM_TOXIC,189
ETH-USDT,valid,UNKNOWN,38
ETH-USDT,valid,VOLATILE_ILLIQUID,13
ETH-USDT,valid,VOLATILE_LIQUID,4
